Genome_id	Genbank_id	Status	Population_number
KM607004	KM607004	MEM	8
OK040907	OK040907	MEM	8
OK331996	OK331996	MEM	8
OL870316	OL870316	MEM	8
PQ657784	PQ657784	MEM	8
MN508618	MN508618	MEM	8
MZ501052	MZ501052	MEM	8
OP197928	OP197928	MEM	8
OL505078	OL505078	MEM	8
MN994497	MN994497	MEM	8
KX009778	KX009778	MEM	8
KX828711	KX828711	MEM	8
OQ223305	OQ223305	MEM	8
MK327940	MK327940	MEM	8
OR539218	OR539218	MEM	8
OL310488	OL310488	MEM	8
OL362041	OL362041	MEM	8
MW341595	MW341595	MEM	8
KR233165	KR233165	MEM	8
KF925357	KF925357	MEM	8
ON528726	ON528726	MEM	8
OM386666	OM386666	MEM	8
PP942088	PP942088	MEM	8
MZ726795	MZ726795	MEM	8
OP856590	OP856590	MEM	8
OP137232	OP137232	MEM	8
ON528739	ON528739	MEM	8
PP500713	PP500713	MEM	8
MZ502379	MZ502379	MEM	8
PP476962	PP476962	MEM	8
MK962750	MK962750	MEM	8
OK076929	OK076929	MEM	8
MH355584	MH355584	MEM	8
OQ599309	OQ599309	MEM	8
OK148441	OK148441	MEM	8
ON871820	ON871820	MEM	8
MK373785	MK373785	MEM	8
MN508614	MN508614	MEM	8
OP870144	OP870144	MEM	8
OR906198	OR906198	MEM	8
OR424388	OR424388	MEM	8
FJ839692	FJ839692	MEM	8
MN508617	MN508617	MEM	8
MF327007	MF327007	MEM	8
MF327008	MF327008	MEM	8
PP400787	PP400787	MEM	8
PP400790	PP400790	MEM	8
MT682710	MT682710	MEM	8
JX561091	JX561091	MEM	8
OR958571	OR958571	MEM	8
OQ944321	OQ944321	MEM	8
KJ668714	KJ668714	MEM	8
MG867727	MG867727	MEM	8
OP595145	OP595145	MEM	8
OK274152	OK274152	MEM	8
KM607001	KM607001	MEM	8
DQ904452	DQ904452	MEM	8
OR125554	OR125554	MEM	8
PP400785	PP400785	MEM	8
MN850618	MN850618	MEM	8
OM386667	OM386667	MEM	8
KX664695	KX664695	MEM	8
OL956808	OL956808	MEM	8
ON528743	ON528743	MEM	8
OM362897	OM362897	MEM	8
OM386659	OM386659	MEM	8
KX130864	KX130864	MEM	8
MN850598	MN850598	MEM	8
MK977694	MK977694	MEM	8
OP562383	OP562383	MEM	8
OL615012	OL615012	MEM	8
KT184312	KT184312	MEM	8
ON528745	ON528745	MEM	8
OR352955	OR352955	MEM	8
MH252123	MH252123	MEM	8
JN986846	JN986846	MEM	8
MK327929	MK327929	MEM	8
MN716856	MN716856	MEM	8
OR352956	OR352956	MEM	8
MK327937	MK327937	MEM	8
OR437326	OR437326	MEM	8
OP172792	OP172792	MEM	8
MN850565	MN850565	MEM	8
OQ174501	OQ174501	MEM	8
OL631481	OL631481	MEM	8
PQ433349	PQ433349	MEM	8
OL739525	OL739525	MEM	8
MT496970	MT496970	MEM	8
MN850648	MN850648	MEM	8
OQ174502	OQ174502	MEM	8
KT184311	KT184311	MEM	8
KT184308	KT184308	MEM	8
PP355090	PP355090	MEM	8
ON528735	ON528735	MEM	8
LC348379	LC348379	MEM	8
MT932213	MT932213	MEM	8
KM501444	KM501444	MEM	8
OR584013	OR584013	MEM	8
OP557970	OP557970	MEM	8
MN022785	MN022785	MEM	8
PP274704	PP274704	MEM	8
OL870317	OL870317	MEM	8
MG781190	MG781190	MEM	8
MG781191	MG781191	MEM	8
MK327928	MK327928	MEM	8
JX128259	JX128259	MEM	8
ON506924	ON506924	MEM	8
KY608967	KY608967	MEM	8
MZ417521	MZ417521	MEM	8
MH243439	MH243439	MEM	8
OP168898	OP168898	MEM	8
KX130861	KX130861	MEM	8
MT968995	MT968995	MEM	8
KM606996	KM606996	MEM	8
KM606999	KM606999	MEM	8
KM606997	KM606997	MEM	8
KM606998	KM606998	MEM	8
KM606995	KM606995	MEM	8
KM606994	KM606994	MEM	8
MT764206	MT764206	MEM	8
OR539219	OR539219	MEM	8
MK327936	MK327936	MEM	8
ON528742	ON528742	MEM	8
MK327946	MK327946	MEM	8
MZ892903	MZ892903	MEM	8
OR780565	OR780565	MEM	8
ON528744	ON528744	MEM	8
MN850571	MN850571	MEM	8
MH553563	MH553563	MEM	8
MZ501046	MZ501046	MEM	8
PQ303785	PQ303785	MEM	8
MN895436	MN895436	MEM	8
MZ436830	MZ436830	MEM	8
MK373786	MK373786	MEM	8
MZ234018	MZ234018	MEM	8
MZ501113	MZ501113	MEM	8
MT515756	MT515756	MEM	8
MN895437	MN895437	MEM	8
MT515752	MT515752	MEM	8
MT526905	MT526905	MEM	8
MT446387	MT446387	MEM	8
HE956711	HE956711	MEM	8
OR352951	OR352951	MEM	8
OQ067375	OQ067375	MEM	8
OK272484	OK272484	MEM	8
OR544956	OR544956	MEM	8
MT515754	MT515754	MEM	8
MT828552	MT828552	MEM	8
MZ501089	MZ501089	MEM	8
MZ501096	MZ501096	MEM	8
OR880646	OR880646	MEM	8
OP978391	OP978391	MEM	8
OK275722	OK275722	MEM	8
MT515755	MT515755	MEM	8
MT515753	MT515753	MEM	8
MN508616	MN508616	MEM	8
OK272473	OK272473	MEM	8
MZ501067	MZ501067	MEM	8
MN895434	MN895434	MEM	8
MZ501066	MZ501066	MEM	8
MT176426	MT176426	MEM	8
MN580668	MN580668	MEM	8
OQ174500	OQ174500	MEM	8
KR269718	KR269718	MEM	8
MN895435	MN895435	MEM	8
MZ170041	MZ170041	MEM	8
MT682712	MT682712	MEM	8
MG775043	MG775043	MEM	8
PP328843	PP328843	MEM	8
ON210139	ON210139	MEM	8
HM035025	HM035025	MEM	8
ON528734	ON528734	MEM	8
OR352950	OR352950	MEM	8
OR352949	OR352949	MEM	8
PP400789	PP400789	MEM	8
PP400788	PP400788	MEM	8
MK373779	MK373779	MEM	8
MK327944	MK327944	MEM	8
KY290975	KY290975	MEM	8
LN881737	LN881737	MEM	8
LN881734	LN881734	MEM	8
LN881729	LN881729	MEM	8
PP526941	PP526941	MEM	8
OQ067373	OQ067373	MEM	8
ON528741	ON528741	MEM	8
MH992510	MH992510	MEM	8
OQ067376	OQ067376	MEM	8
MH809535	MH809535	MEM	8
MT828553	MT828553	MEM	8
MT515751	MT515751	MEM	8
MT828551	MT828551	MEM	8
MK373781	MK373781	MEM	8
MT179807	MT179807	MEM	8
MT176425	MT176425	MEM	8
MZ501050	MZ501050	MEM	8
MT682713	MT682713	MEM	8
MN895438	MN895438	MEM	8
MZ170040	MZ170040	MEM	8
ON528727	ON528727	MEM	8
OR539217	OR539217	MEM	8
ON528728	ON528728	MEM	8
KU867876	KU867876	MEM	8
OR062944	OR062944	MEM	8
OM339528	OM339528	MEM	8
LC348380	LC348380	MEM	8
MH751506	MH751506	MEM	8
LN881736	LN881736	MEM	8
LN881728	LN881728	MEM	8
LN881733	LN881733	MEM	8
LN881732	LN881732	MEM	8
OR352952	OR352952	MEM	8
MK962755	MK962755	MEM	8
MW749001	MW749001	MEM	8
ON528736	ON528736	MEM	8
OK272476	OK272476	MEM	8
MT682714	MT682714	MEM	8
PQ030847	PQ030847	MEM	8
PP445228	PP445228	MEM	8
OL960580	OL960580	MEM	8
LN881726	LN881726	MEM	8
PP496997	PP496997	MEM	8
MZ501065	MZ501065	MEM	8
MT176424	MT176424	MEM	8
MZ501106	MZ501106	MEM	8
MK327942	MK327942	MEM	8
OR525702	OR525702	MEM	8
MF158045	MF158045	MEM	8
MF327009	MF327009	MEM	8
MN781580	MN781580	MEM	8
MW749000	MW749000	MEM	8
OQ466432	OQ466432	MEM	8
PQ471460	PQ471460	MEM	8
OQ349392	OQ349392	MEM	8
MZ234013	MZ234013	MEM	8
ON528740	ON528740	MEM	8
OR062946	OR062946	MEM	8
ON229909	ON229909	MEM	8
ON528746	ON528746	MEM	8
PQ438391	PQ438391	MEM	8
MH837626	MH837626	MEM	8
KX130862	KX130862	MEM	8
PP170089	PP170089	MEM	8
PP445230	PP445230	MEM	8
OR757454	OR757454	MEM	8
KU574722	KU574722	REP	9
OR699282	OR699282	REP	10
MK817115	MK817115	MEM	10
OQ708376	OQ708376	MEM	10
MH383160	MH383160	MEM	10
PQ390715	PQ390715	MEM	10
PQ691273	PQ691273	MEM	10
PP886230	PP886230	MEM	10
KC295538	KC295538	MEM	10
OR545507	OR545507	MEM	10
MK327931	MK327931	MEM	10
OR699188	OR699188	MEM	10
LC494302	LC494302	MEM	10
PQ330092	PQ330092	MEM	10
KM507819	KM507819	MEM	10
OR699181	OR699181	MEM	10
OR699182	OR699182	MEM	10
OR699183	OR699183	MEM	10
OP292654	OP292654	REP	11
OR228459	OR228459	REP	12
MK268344	MK268344	MEM	12
MT001829	MT001829	MEM	12
MK773491	MK773491	MEM	12
PP191103	PP191103	MEM	12
JN882285	JN882285	REP	13
MT939486	MT939486	REP	14
KY630187	KY630187	MEM	14
MW879342	MW879342	MEM	14
MW879343	MW879343	MEM	14
MT939488	MT939488	MEM	14
MW879344	MW879344	MEM	14
MT939487	MT939487	MEM	14
ON568341	ON568341	REP	15
OP617745	OP617745	REP	16
MT708547	MT708547	MEM	16
AB897757	AB897757	MEM	16
OR532817	OR532817	MEM	16
JQ513383	JQ513383	MEM	16
PP728206	PP728206	MEM	16
ON529860	ON529860	REP	17
ON529855	ON529855	MEM	17
ON529852	ON529852	MEM	17
OR670491	OR670491	REP	18
PQ471516	PQ471516	MEM	18
ON286972	ON286972	REP	19
LT960551	LT960551	REP	20
LT960552	LT960552	MEM	20
MT135025	MT135025	REP	21
OM782678	OM782678	MEM	21
OQ164647	OQ164647	MEM	21
AY283928	AY283928	MEM	21
MT135026	MT135026	MEM	21
MN794232	MN794232	MEM	21
OR538032	OR538032	MEM	21
JN849462	JN849462	MEM	21
PP712906	PP712906	MEM	21
PP712903	PP712903	MEM	21
MT135024	MT135024	MEM	21
PP712916	PP712916	MEM	21
OQ411014	OQ411014	REP	22
OR258281	OR258281	REP	23
ON529851	ON529851	REP	24
ON529853	ON529853	MEM	24
OP557969	OP557969	REP	25
MG752970	MG752970	REP	26
MZ574432	MZ574432	REP	27
MZ574431	MZ574431	MEM	27
MZ574429	MZ574429	MEM	27
MZ574433	MZ574433	MEM	27
MZ574430	MZ574430	MEM	27
MH588546	MH588546	REP	28
LC667451	LC667451	REP	29
ON529850	ON529850	REP	30
OP752703	OP752703	REP	31
OP883945	OP883945	MEM	31
MH588547	MH588547	REP	32
EU197055	EU197055	REP	33
PQ015379	PQ015379	REP	34
ON529857	ON529857	REP	35
OQ790161	OQ790161	REP	36
HQ630627	HQ630627	REP	37
MF042360	MF042360	REP	38
MN047793	MN047793	REP	39
MH588545	MH588545	REP	40
OQ363659	OQ363659	REP	41
MW394391	MW394391	REP	42
LC765218	LC765218	REP	43
MK599315	MK599315	MEM	43
MN103543	MN103543	MEM	43
MK552327	MK552327	REP	44
MN871447	MN871447	REP	45
MN871449	MN871449	MEM	45
MN871451	MN871451	MEM	45
MN871446	MN871446	MEM	45
MN871448	MN871448	MEM	45
MN871453	MN871453	MEM	45
MN871452	MN871452	MEM	45
PP968062	PP968062	REP	46
PQ015378	PQ015378	REP	47
PQ182779	PQ182779	REP	48
MW879340	MW879340	REP	49
MW845760	MW845760	MEM	49
LC819007	LC819007	REP	50
LC819005	LC819005	MEM	50
MK308676	MK308676	REP	51
MK308675	MK308675	MEM	51
MK308674	MK308674	MEM	51
MK308677	MK308677	MEM	51
MH595538	MH595538	REP	52
PP355766	PP355766	REP	53
PP355768	PP355768	MEM	53
PQ133608	PQ133608	MEM	53
MN163280	MN163280	MEM	53
LC768497	LC768497	MEM	53
OR231916	OR231916	MEM	53
PP723046	PP723046	MEM	53
OM630219	OM630219	MEM	53
OR896848	OR896848	MEM	53
OR896843	OR896843	MEM	53
PP350798	PP350798	MEM	53
PQ306550	PQ306550	MEM	53
OR666137	OR666137	MEM	53
MT580897	MT580897	MEM	53
PQ505479	PQ505479	MEM	53
MG751100	MG751100	MEM	53
OR359401	OR359401	MEM	53
PP926509	PP926509	MEM	53
PP531540	PP531540	MEM	53
MZ602148	MZ602148	MEM	53
PQ182780	PQ182780	MEM	53
OR532826	OR532826	MEM	53
MH333064	MH333064	MEM	53
OR532864	OR532864	MEM	53
OR896840	OR896840	MEM	53
OQ721914	OQ721914	MEM	53
PP355765	PP355765	MEM	53
PP889506	PP889506	MEM	53
MK521907	MK521907	MEM	53
OQ515479	OQ515479	MEM	53
MG459987	MG459987	MEM	53
PP723049	PP723049	MEM	53
MN434095	MN434095	MEM	53
OK499996	OK499996	MEM	53
LC768492	LC768492	MEM	53
OR532896	OR532896	MEM	53
OL870318	OL870318	MEM	53
PP728207	PP728207	MEM	53
PP723050	PP723050	MEM	53
PP312927	PP312927	MEM	53
KT239446	KT239446	MEM	53
MW021752	MW021752	MEM	53
MN101229	MN101229	MEM	53
OP331213	OP331213	MEM	53
OK499997	OK499997	MEM	53
ON550260	ON550260	MEM	53
OL539458	OL539458	MEM	53
OR354876	OR354876	MEM	53
PP723047	PP723047	MEM	53
OP734280	OP734280	MEM	53
PP273506	PP273506	MEM	53
PP273507	PP273507	MEM	53
PP889492	PP889492	MEM	53
PP442063	PP442063	MEM	53
PQ678658	PQ678658	MEM	53
PQ564427	PQ564427	MEM	53
OR231918	OR231918	MEM	53
OK499980	OK499980	MEM	53
PP444688	PP444688	MEM	53
OR231915	OR231915	MEM	53
OL870319	OL870319	MEM	53
PP312928	PP312928	MEM	53
PP723048	PP723048	MEM	53
PQ154968	PQ154968	MEM	53
PP209575	PP209575	MEM	53
OR106137	OR106137	MEM	53
MN101225	MN101225	MEM	53
OR231920	OR231920	MEM	53
OR354874	OR354874	MEM	53
OR271596	OR271596	MEM	53
PQ181262	PQ181262	MEM	53
OR354875	OR354875	MEM	53
KR269720	KR269720	MEM	53
OP617748	OP617748	MEM	53
MH729874	MH729874	MEM	53
MN101230	MN101230	MEM	53
KY000080	KY000080	MEM	53
OK499981	OK499981	MEM	53
OK631811	OK631811	MEM	53
MZ890186	MZ890186	MEM	53
CP062992	CP062992	MEM	53
OM337877	OM337877	MEM	53
KX258185	KX258185	MEM	53
PP442064	PP442064	MEM	53
OM337876	OM337876	MEM	53
PQ368522	PQ368522	MEM	53
PP312926	PP312926	MEM	53
PP355767	PP355767	MEM	53
PP355764	PP355764	MEM	53
MW239157	MW239157	MEM	53
PP728205	PP728205	MEM	53
OR941409	OR941409	MEM	53
OR805293	OR805293	REP	54
OR142618	OR142618	MEM	54
OR805294	OR805294	MEM	54
LC727697	LC727697	MEM	54
OR805295	OR805295	MEM	54
OR805292	OR805292	MEM	54
LC727698	LC727698	MEM	54
PP408249	PP408249	MEM	54
MH121069	MH121069	MEM	54
MK797984	MK797984	MEM	54
MN445183	MN445183	REP	55
OM319461	OM319461	REP	56
MT811961	MT811961	REP	57
JN627160	JN627160	REP	58
OM718002	OM718002	REP	59
PP456878	PP456878	MEM	59
MN871480	MN871480	MEM	59
MW057919	MW057919	MEM	59
LC727695	LC727695	MEM	59
OQ992561	OQ992561	MEM	59
AP019418	AP019418	MEM	59
OQ828465	OQ828465	MEM	59
MN871489	MN871489	MEM	59
LC727701	LC727701	MEM	59
MZ444140	MZ444140	MEM	59
PP456879	PP456879	MEM	59
PP456877	PP456877	MEM	59
PQ741806	PQ741806	MEM	59
OR608736	OR608736	MEM	59
OR608733	OR608733	MEM	59
OR608734	OR608734	MEM	59
OR608735	OR608735	MEM	59
PP813861	PP813861	MEM	59
MF805716	MF805716	MEM	59
OP310984	OP310984	MEM	59
OQ992562	OQ992562	MEM	59
OP310983	OP310983	MEM	59
KU521356	KU521356	MEM	59
PQ227241	PQ227241	MEM	59
LC727696	LC727696	MEM	59
PP793740	PP793740	MEM	59
OP953026	OP953026	MEM	59
OR228460	OR228460	MEM	59
ON631220	ON631220	MEM	59
MN563784	MN563784	MEM	59
PQ093904	PQ093904	MEM	59
MT133560	MT133560	MEM	59
LC727699	LC727699	MEM	59
JQ768459	JQ768459	REP	60
JX100810	JX100810	REP	61
AP017924	AP017924	REP	62
AP017925	AP017925	MEM	62
ON287372	ON287372	REP	63
MF063068	MF063068	REP	64
MK689364	MK689364	REP	65
MF285618	MF285618	REP	66
OL539468	OL539468	MEM	66
OK040170	OK040170	MEM	66
MW021758	MW021758	MEM	66
MK994515	MK994515	MEM	66
ON375847	ON375847	MEM	66
ON287376	ON287376	MEM	66
MZ501268	MZ501268	REP	67
MG655269	MG655269	REP	68
MK514281	MK514281	MEM	68
MG655267	MG655267	MEM	68
KU886225	KU886225	MEM	68
MG655270	MG655270	MEM	68
MG655268	MG655268	MEM	68
KU886222	KU886222	MEM	68
KU886224	KU886224	MEM	68
KF806589	KF806589	MEM	68
KU886223	KU886223	MEM	68
MW349128	MW349128	REP	69
OR770614	OR770614	MEM	69
MW495066	MW495066	REP	70
MW879341	MW879341	REP	71
PP885733	PP885733	REP	72
MN871445	MN871445	REP	73
MN871444	MN871444	REP	74
MN091626	MN091626	REP	75
LC680885	LC680885	MEM	75
MZ779063	MZ779063	MEM	75
MW366843	MW366843	REP	76
MZ443783	MZ443783	REP	77
MZ443784	MZ443784	MEM	77
MZ443782	MZ443782	MEM	77
MZ443785	MZ443785	MEM	77
MZ443780	MZ443780	REP	78
MZ443772	MZ443772	MEM	78
MZ443773	MZ443773	MEM	78
MZ443770	MZ443770	MEM	78
MZ443771	MZ443771	MEM	78
MZ443776	MZ443776	REP	79
MW248466	MW248466	REP	80
MW349129	MW349129	MEM	80
MH248138	MH248138	REP	81
MZ443774	MZ443774	REP	82
MZ475896	MZ475896	REP	83
MZ475895	MZ475895	MEM	83
MZ475891	MZ475891	MEM	83
MZ475892	MZ475892	MEM	83
MZ475894	MZ475894	MEM	83
MZ475897	MZ475897	MEM	83
MZ475898	MZ475898	MEM	83
MZ475893	MZ475893	MEM	83
MW735835	MW735835	REP	84
MZ443786	MZ443786	REP	85
MZ443787	MZ443787	MEM	85
OR455461	OR455461	REP	86
MZ443777	MZ443777	REP	87
MK552140	MK552140	REP	88
MK552141	MK552141	MEM	88
MZ443779	MZ443779	REP	89
OP729297	OP729297	MEM	89
MZ501267	MZ501267	REP	90
AJ972879	AJ972879	REP	91
MN102098	MN102098	REP	92
MN131137	MN131137	MEM	92
MK838116	MK838116	MEM	92
PP942979	PP942979	REP	93
MZ443778	MZ443778	MEM	93
MZ443788	MZ443788	REP	94
MZ443789	MZ443789	MEM	94
MH460463	MH460463	REP	95
KY984068	KY984068	REP	96
MZ443769	MZ443769	MEM	96
MW218148	MW218148	REP	97
KY448244	KY448244	REP	98
OR836606	OR836606	REP	99
KF147891	KF147891	REP	100
LT598654	LT598654	REP	101
OP079919	OP079919	REP	102
OR529409	OR529409	MEM	102
MT701590	MT701590	MEM	102
OR493421	OR493421	MEM	102
ON287370	ON287370	REP	103
ON287375	ON287375	MEM	103
KT895374	KT895374	REP	104
MH460462	MH460462	REP	105
MH389777	MH389777	MEM	105
MH460460	MH460460	MEM	105
MT713136	MT713136	REP	106
PQ066597	PQ066597	MEM	106
OM339718	OM339718	MEM	106
MH791398	MH791398	MEM	106
MF448340	MF448340	MEM	106
MF498773	MF498773	MEM	106
MN871442	MN871442	MEM	106
MZ348422	MZ348422	REP	107
MW824377	MW824377	REP	108
MN642089	MN642089	REP	109
MH460461	MH460461	REP	110
GU071092	GU071092	REP	111
AY939844	AY939844	MEM	111
MW749003	MW749003	REP	112
MF360957	MF360957	MEM	112
KU878088	KU878088	MEM	112
OM728297	OM728297	MEM	112
LC680884	LC680884	MEM	112
MW845758	MW845758	REP	113
LC768500	LC768500	REP	114
MH221129	MH221129	REP	115
MH221128	MH221128	MEM	115
OQ722176	OQ722176	REP	116
KT919973	KT919973	REP	117
KP671755	KP671755	MEM	117
ON190025	ON190025	MEM	117
KC131129	KC131129	MEM	117
MK568540	MK568540	MEM	117
MT612989	MT612989	MEM	117
MT612988	MT612988	MEM	117
ON000910	ON000910	MEM	117
KT919972	KT919972	MEM	117
MW760841	MW760841	REP	118
MW812338	MW812338	MEM	118
MW812339	MW812339	REP	119
OR620964	OR620964	REP	120
HQ317393	HQ317393	REP	121
MW812341	MW812341	REP	122
KX397369	KX397369	REP	123
MH426724	MH426724	MEM	123
KX397364	KX397364	REP	124
MN695334	MN695334	REP	125
MN695335	MN695335	MEM	125
KX397366	KX397366	REP	126
KX397373	KX397373	REP	127
JX316028	JX316028	MEM	127
OR496884	OR496884	REP	128
PP695294	PP695294	REP	129
OQ383623	OQ383623	MEM	129
JN641803	JN641803	MEM	129
MT679221	MT679221	MEM	129
KU726251	KU726251	MEM	129
OM456492	OM456492	MEM	129
OR413578	OR413578	MEM	129
MT799840	MT799840	MEM	129
MN445185	MN445185	MEM	129
OK428535	OK428535	MEM	129
OR413581	OR413581	MEM	129
OR413585	OR413585	MEM	129
MK368614	MK368614	REP	130
MW384823	MW384823	REP	131
MW812340	MW812340	MEM	131
KX397370	KX397370	REP	132
KX397371	KX397371	MEM	132
KX397368	KX397368	MEM	132
MT710307	MT710307	MEM	132
KX397365	KX397365	REP	133
MW015081	MW015081	REP	134
MN453779	MN453779	REP	135
MN032614	MN032614	MEM	135
MW812343	MW812343	REP	136
AP017972	AP017972	REP	137
MW812342	MW812342	REP	138
MZ622713	MZ622713	REP	139
OP123707	OP123707	REP	140
MK774614	MK774614	REP	141
MK905543	MK905543	REP	142
MK358448	MK358448	MEM	142
MG720308	MG720308	REP	143
MN562221	MN562221	REP	144
MK327938	MK327938	REP	145
KY290955	KY290955	REP	146
PP601403	PP601403	REP	147
OP889247	OP889247	MEM	147
MF459647	MF459647	REP	148
MF459646	MF459646	MEM	148
OL964756	OL964756	REP	149
KU935715	KU935715	REP	150
LC168164	LC168164	REP	151
OM810292	OM810292	REP	152
OP380601	OP380601	REP	153
AY266303	AY266303	REP	154
GU071098	GU071098	REP	155
MT939492	MT939492	REP	156
KY499642	KY499642	REP	157
JX123262	JX123262	REP	158
AB366653	AB366653	REP	159
OP380604	OP380604	REP	160
MG250483	MG250483	MEM	160
MW272540	MW272540	REP	161
MH791414	MH791414	MEM	161
PQ451753	PQ451753	REP	162
OR354861	OR354861	REP	163
OR354824	OR354824	MEM	163
OR354835	OR354835	MEM	163
OR354825	OR354825	MEM	163
OR354826	OR354826	MEM	163
OR354832	OR354832	MEM	163
OR354827	OR354827	MEM	163
OR354829	OR354829	MEM	163
OR354828	OR354828	MEM	163
OR354830	OR354830	MEM	163
OR354831	OR354831	MEM	163
OR354836	OR354836	MEM	163
OR354834	OR354834	MEM	163
OR354823	OR354823	MEM	163
OR354822	OR354822	MEM	163
OR354821	OR354821	MEM	163
OR354820	OR354820	MEM	163
MZ417326	MZ417326	MEM	163
OR354833	OR354833	MEM	163
LC597490	LC597490	REP	164
KX397372	KX397372	REP	165
KY555145	KY555145	REP	166
KY555142	KY555142	MEM	166
KY555143	KY555143	MEM	166
KY555147	KY555147	MEM	166
JX100813	JX100813	MEM	166
KY555146	KY555146	MEM	166
PQ287319	PQ287319	MEM	166
JX163858	JX163858	MEM	166
JX100809	JX100809	MEM	166
KY555144	KY555144	MEM	166
MK867354	MK867354	REP	167
MN871441	MN871441	REP	168
KJ019059	KJ019059	REP	169
KJ019053	KJ019053	MEM	169
KJ019045	KJ019045	MEM	169
KJ019098	KJ019098	MEM	169
KJ019092	KJ019092	MEM	169
KJ019052	KJ019052	MEM	169
KJ019037	KJ019037	MEM	169
KJ019066	KJ019066	MEM	169
KJ019102	KJ019102	MEM	169
KJ019145	KJ019145	MEM	169
KJ019097	KJ019097	MEM	169
KJ019150	KJ019150	MEM	169
KJ019095	KJ019095	MEM	169
KJ019143	KJ019143	MEM	169
KJ019105	KJ019105	MEM	169
KJ019099	KJ019099	MEM	169
KJ019147	KJ019147	MEM	169
KJ019149	KJ019149	MEM	169
KJ019058	KJ019058	MEM	169
KJ019123	KJ019123	MEM	169
KJ019148	KJ019148	MEM	169
KJ019103	KJ019103	MEM	169
KJ019141	KJ019141	MEM	169
KJ019159	KJ019159	MEM	169
KJ019090	KJ019090	MEM	169
KJ019093	KJ019093	MEM	169
KJ019106	KJ019106	MEM	169
KJ019111	KJ019111	MEM	169
KJ019155	KJ019155	MEM	169
KJ019142	KJ019142	MEM	169
KJ019085	KJ019085	MEM	169
KJ019152	KJ019152	MEM	169
KJ019096	KJ019096	MEM	169
KJ019091	KJ019091	MEM	169
KJ019107	KJ019107	MEM	169
KJ019144	KJ019144	MEM	169
KJ019146	KJ019146	MEM	169
KJ019151	KJ019151	MEM	169
KJ019100	KJ019100	MEM	169
KJ019086	KJ019086	MEM	169
KJ019101	KJ019101	MEM	169
MT028491	MT028491	REP	170
PP856017	PP856017	REP	171
OQ603353	OQ603353	REP	172
OQ603359	OQ603359	MEM	172
MW460245	MW460245	REP	173
LC592711	LC592711	REP	174
LC819009	LC819009	MEM	174
LC819008	LC819008	MEM	174
LC667450	LC667450	MEM	174
LC819006	LC819006	MEM	174
AP019525	AP019525	REP	175
AP019524	AP019524	MEM	175
LC778249	LC778249	REP	176
