Contig_id	Status	Population_number
Ga0531459_000040	REP	96
Ga0531454_000005	MEM	96
Ga0531460_000009	MEM	96
Ga0531458_00004	MEM	96
Ga0531458_00020	MEM	96
Ga0531459_000041	REP	97
Ga0531454_000004	REP	98
Ga0531459_000273	MEM	98
Ga0531459_001035	MEM	98
Ga0531456_000007	REP	99
Ga0531459_000042	REP	100
Ga0531457_000009	REP	101
Ga0531461_000065	MEM	101
Ga0531457_000010	REP	102
Ga0531465_000005	REP	103
Ga0531462_000130	MEM	103
Ga0531464_000255	MEM	103
Ga0531462_000014	REP	104
Ga0531465_000006	MEM	104
Ga0531464_000179	MEM	104
Ga0531464_000218	MEM	104
Ga0531463_000060	MEM	104
Ga0531463_000065	MEM	104
Ga0531463_000141	MEM	104
Ga0531459_000043	REP	105
Ga0531459_000044	REP	106
Ga0531455_000020	MEM	106
Ga0531455_000414	MEM	106
Ga0531459_000045	REP	107
Ga0531455_000168	MEM	107
Ga0531455_000252	MEM	107
Ga0531459_000046	REP	108
Ga0531457_000011	REP	109
Ga0531461_000027	MEM	109
Ga0531461_000171	MEM	109
Ga0531457_000012	REP	110
Ga0531459_000047	REP	111
Ga0531459_000048	REP	112
Ga0531465_000007	REP	113
Ga0531463_000007	MEM	113
Ga0531462_000048	MEM	113
Ga0531462_000715	MEM	113
Ga0531460_000008	REP	114
Ga0531454_000006	MEM	114
Ga0531458_00018	MEM	114
Ga0531458_00017	MEM	114
Ga0531462_000015	REP	115
Ga0531464_000363	MEM	115
Ga0531459_000049	REP	116
Ga0531459_000050	REP	117
Ga0531465_000008	REP	118
Ga0531462_000076	MEM	118
Ga0531464_000832	MEM	118
Ga0531464_000590	MEM	118
Ga0531464_001233	MEM	118
Ga0531465_000009	REP	119
Ga0531464_000246	MEM	119
Ga0531462_000224	MEM	119
Ga0531464_000406	MEM	119
Ga0531460_000181	MEM	119
Ga0531456_000325	MEM	119
Ga0531462_000726	MEM	119
Ga0531464_000024	REP	120
Ga0531462_000016	REP	121
Ga0531464_000142	MEM	121
Ga0531465_000083	MEM	121
Ga0531465_000129	MEM	121
Ga0531457_000013	REP	122
Ga0531461_000153	MEM	122
Ga0531459_000051	REP	123
Ga0531462_000017	REP	124
Ga0531465_000020	MEM	124
Ga0531464_000237	MEM	124
Ga0531464_000634	MEM	124
Ga0531461_000003	REP	125
Ga0531457_000055	MEM	125
Ga0531457_000467	MEM	125
Ga0531459_000052	REP	126
Ga0531455_000006	MEM	126
Ga0531459_000053	REP	127
Ga0531464_000025	REP	128
Ga0531462_000019	MEM	128
Ga0531465_000108	MEM	128
Ga0531463_000087	MEM	128
Ga0531465_000135	MEM	128
Ga0531457_000442	MEM	128
Ga0531463_000147	MEM	128
Ga0531462_000018	REP	129
Ga0531464_000221	MEM	129
Ga0531463_000051	MEM	129
Ga0531457_000014	REP	130
Ga0531464_000026	REP	131
Ga0531465_000047	MEM	131
Ga0531462_000028	MEM	131
Ga0531463_000022	MEM	131
Ga0531463_000072	MEM	131
Ga0531465_000332	MEM	131
Ga0531461_000004	REP	132
Ga0531457_000423	MEM	132
Ga0531464_000027	REP	133
Ga0531465_000053	MEM	133
Ga0531465_000287	MEM	133
Ga0531462_000397	MEM	133
Ga0531462_000489	MEM	133
Ga0531459_000054	REP	134
Ga0531456_000008	REP	135
Ga0531460_000289	MEM	135
Ga0531457_000015	REP	136
Ga0531461_000010	MEM	136
Ga0531459_000055	REP	137
Ga0531454_000035	MEM	137
Ga0531454_000112	MEM	137
Ga0531459_000056	REP	138
Ga0531455_000049	MEM	138
Ga0531455_000157	MEM	138
Ga0531459_000058	REP	139
Ga0531462_000020	REP	140
Ga0531464_000544	MEM	140
Ga0531459_000059	REP	141
Ga0531461_000005	REP	142
Ga0531457_000110	MEM	142
Ga0531464_000028	REP	143
Ga0531462_000336	MEM	143
Ga0531462_000625	MEM	143
Ga0531464_000029	REP	144
Ga0531463_000001	REP	145
Ga0531465_000186	MEM	145
Ga0531459_000060	REP	146
Ga0531457_000016	REP	147
Ga0531460_000011	REP	148
Ga0531462_000022	REP	149
Ga0531464_000095	MEM	149
Ga0531465_000277	MEM	149
Ga0531457_000017	REP	150
Ga0531461_000079	MEM	150
Ga0531461_000226	MEM	150
Ga0531459_000061	REP	151
Ga0531464_000030	REP	152
Ga0531462_000238	MEM	152
Ga0531459_000062	REP	153
Ga0531457_000018	REP	154
Ga0531463_000002	REP	155
Ga0531462_000023	REP	156
Ga0531464_000031	MEM	156
Ga0531456_000009	REP	157
Ga0531460_000068	MEM	157
Ga0531459_000063	REP	158
Ga0531455_000264	MEM	158
Ga0531462_000024	REP	159
Ga0531464_000245	MEM	159
Ga0531464_001151	MEM	159
Ga0531459_000064	REP	160
Ga0531455_000118	MEM	160
Ga0531461_000006	REP	161
Ga0531457_000212	MEM	161
Ga0531457_000711	MEM	161
Ga0531459_000065	REP	162
Ga0531465_000011	REP	163
Ga0531462_000025	MEM	163
Ga0531464_000033	MEM	163
Ga0531457_000308	MEM	163
Ga0531457_000220	MEM	163
Ga0531463_000099	MEM	163
Ga0531461_000007	REP	164
Ga0531464_000513	MEM	164
Ga0531461_000008	REP	165
Ga0531457_000109	MEM	165
Ga0531457_000224	MEM	165
Ga0531460_000012	REP	166
Ga0531456_000492	MEM	166
Ga0531456_000586	MEM	166
Ga0531456_000519	MEM	166
Ga0531456_000010	REP	167
Ga0531460_000211	MEM	167
Ga0531460_000163	MEM	167
Ga0531464_000032	REP	168
Ga0531463_000003	REP	169
Ga0531462_000121	MEM	169
Ga0531464_000229	MEM	169
Ga0531465_000396	MEM	169
Ga0531465_000493	MEM	169
Ga0531459_000066	REP	170
Ga0531457_000019	REP	171
Ga0531459_000067	REP	172
Ga0531455_000008	MEM	172
Ga0531462_000026	REP	173
Ga0531465_000158	MEM	173
Ga0531464_000658	MEM	173
Ga0531465_000261	MEM	173
Ga0531459_000068	REP	174
Ga0531464_000034	REP	175
Ga0531465_000188	MEM	175
Ga0531462_000435	MEM	175
Ga0531462_000533	MEM	175
Ga0531465_000163	MEM	175
Ga0531464_000035	REP	176
Ga0531462_000134	MEM	176
Ga0531462_000261	MEM	176
Ga0531464_000036	REP	177
Ga0531465_000017	MEM	177
Ga0531462_000041	MEM	177
Ga0531464_000037	REP	178
Ga0531465_000013	REP	179
Ga0531463_000020	MEM	179
Ga0531464_000157	MEM	179
Ga0531459_000069	REP	180
Ga0531461_000009	REP	181
Ga0531457_000166	MEM	181
Ga0531462_000027	REP	182
Ga0531465_000170	MEM	182
Ga0531464_000212	MEM	182
Ga0531465_000192	MEM	182
Ga0531464_000534	MEM	182
Ga0531463_000042	MEM	182
Ga0531454_000007	REP	183
Ga0531459_000070	REP	184
Ga0531459_000071	REP	185
Ga0531465_000014	REP	186
Ga0531463_000024	MEM	186
Ga0531464_000506	MEM	186
Ga0531462_000298	MEM	186
Ga0531464_000829	MEM	186
Ga0531464_001424	MEM	186
Ga0531456_000011	REP	187
Ga0531461_000011	REP	188
Ga0531457_000139	MEM	188
Ga0531457_000269	MEM	188
Ga0531459_000072	REP	189
Ga0531459_000073	REP	190
Ga0531459_000074	REP	191
Ga0531464_000038	REP	192
Ga0531465_000015	REP	193
Ga0531462_000034	MEM	193
Ga0531464_000327	MEM	193
Ga0531464_000794	MEM	193
Ga0531459_000075	REP	194
Ga0531459_001634	MEM	194
Ga0531455_000007	REP	195
Ga0531459_000895	MEM	195
Ga0531459_000322	MEM	195
Ga0531459_000076	REP	196
Ga0531455_000084	MEM	196
Ga0531455_000120	MEM	196
Ga0531462_000029	REP	197
Ga0531464_000039	MEM	197
Ga0531465_000034	MEM	197
Ga0531460_000253	MEM	197
Ga0531456_000229	MEM	197
Ga0531459_000077	REP	198
Ga0531464_000040	REP	199
Ga0531462_000035	MEM	199
Ga0531465_000027	MEM	199
Ga0531463_000069	MEM	199
Ga0531463_000071	MEM	199
Ga0531464_000041	REP	200
Ga0531462_000114	MEM	200
Ga0531462_000596	MEM	200
Ga0531456_000012	REP	201
Ga0531463_000004	REP	202
Ga0531459_000078	REP	203
Ga0531460_000013	REP	204
Ga0531459_000079	REP	205
Ga0531460_000014	REP	206
Ga0531456_000118	MEM	206
Ga0531456_000013	REP	207
Ga0531459_000080	REP	208
Ga0531455_000158	MEM	208
Ga0531464_000042	REP	209
Ga0531462_000511	MEM	209
Ga0531460_000015	REP	210
Ga0531456_000143	MEM	210
Ga0531456_000248	MEM	210
Ga0531456_000014	REP	211
Ga0531460_000086	MEM	211
Ga0531459_000081	REP	212
Ga0531455_000261	MEM	212
Ga0531455_000328	MEM	212
Ga0531457_000021	REP	213
Ga0531456_000015	REP	214
Ga0531459_000082	REP	215
Ga0531460_000016	REP	216
Ga0531456_000020	MEM	216
Ga0531457_000022	REP	217
Ga0531461_000094	MEM	217
Ga0531460_000017	REP	218
Ga0531462_000030	REP	219
Ga0531464_000141	MEM	219
Ga0531465_000235	MEM	219
Ga0531462_000031	REP	220
Ga0531464_000613	MEM	220
Ga0531465_000280	MEM	220
Ga0531464_000724	MEM	220
Ga0531464_000043	REP	221
Ga0531465_000018	REP	222
Ga0531462_000032	MEM	222
Ga0531464_000051	MEM	222
Ga0531463_000115	MEM	222
Ga0531457_000023	REP	223
Ga0531460_000018	REP	224
Ga0531456_000016	MEM	224
Ga0531461_000012	REP	225
Ga0531457_000024	MEM	225
Ga0531459_000083	REP	226
Ga0531464_000044	REP	227
Ga0531462_000211	MEM	227
Ga0531462_000688	MEM	227
Ga0531457_000025	REP	228
Ga0531460_000019	REP	229
Ga0531456_000172	MEM	229
Ga0531456_000728	MEM	229
Ga0531459_000084	REP	230
Ga0531455_000060	MEM	230
Ga0531459_000085	REP	231
Ga0531459_000086	REP	232
Ga0531455_000164	MEM	232
Ga0531459_000087	REP	233
Ga0531457_000026	REP	234
Ga0531461_000033	MEM	234
Ga0531461_000219	MEM	234
Ga0531459_000088	REP	235
Ga0531455_000093	MEM	235
Ga0531459_000089	REP	236
Ga0531455_000051	MEM	236
Ga0531455_000172	MEM	236
Ga0531464_000045	REP	237
Ga0531465_000305	MEM	237
Ga0531465_000393	MEM	237
Ga0531456_000017	REP	238
Ga0531460_000020	MEM	238
Ga0531461_000013	REP	239
Ga0531457_000029	MEM	239
Ga0531464_000046	REP	240
Ga0531465_000038	MEM	240
Ga0531459_000090	REP	241
Ga0531464_000047	REP	242
Ga0531464_000048	REP	243
Ga0531463_000008	MEM	243
Ga0531465_000029	MEM	243
Ga0531462_000040	MEM	243
Ga0531461_000026	MEM	243
Ga0531457_000334	MEM	243
Ga0531457_000507	MEM	243
Ga0531457_000027	REP	244
Ga0531461_000035	MEM	244
Ga0531457_000028	REP	245
Ga0531461_000228	MEM	245
Ga0531459_000091	REP	246
Ga0531460_000021	REP	247
Ga0531456_000168	MEM	247
Ga0531456_000536	MEM	247
Ga0531460_000022	REP	248
Ga0531456_000122	MEM	248
Ga0531464_000049	REP	249
Ga0531463_000110	MEM	249
Ga0531462_000558	MEM	249
Ga0531456_000018	REP	250
Ga0531459_000092	REP	251
Ga0531456_000019	REP	252
Ga0531460_000168	MEM	252
Ga0531457_000030	REP	253
Ga0531459_000093	REP	254
Ga0531454_000009	REP	255
Ga0531459_000094	REP	256
Ga0531461_000014	REP	257
Ga0531457_000031	MEM	257
Ga0531464_000050	REP	258
Ga0531462_000146	MEM	258
Ga0531465_000147	MEM	258
Ga0531465_000331	MEM	258
Ga0531460_000023	REP	259
Ga0531456_000411	MEM	259
Ga0531456_000428	MEM	259
Ga0531460_000024	REP	260
Ga0531456_000051	MEM	260
Ga0531464_000452	MEM	260
Ga0531465_000251	MEM	260
Ga0531464_000466	MEM	260
Ga0531465_000255	MEM	260
Ga0531462_000296	MEM	260
Ga0531462_000504	MEM	260
Ga0531460_000025	REP	261
Ga0531459_001226	MEM	261
Ga0531458_00054	MEM	261
Ga0531454_000329	MEM	261
Ga0531459_000095	REP	262
Ga0531463_000005	REP	263
Ga0531462_000445	MEM	263
Ga0531465_000582	MEM	263
Ga0531465_000021	REP	264
Ga0531462_000073	MEM	264
Ga0531464_000339	MEM	264
Ga0531459_000096	REP	265
Ga0531457_000032	REP	266
Ga0531455_000009	REP	267
Ga0531459_001048	MEM	267
Ga0531464_000052	REP	268
Ga0531459_000097	REP	269
Ga0531464_000053	REP	270
Ga0531465_000327	MEM	270
Ga0531459_000098	REP	271
Ga0531455_000303	MEM	271
Ga0531465_000022	REP	272
Ga0531464_000473	MEM	272
Ga0531464_001484	MEM	272
Ga0531463_000006	REP	273
Ga0531464_000085	MEM	273
Ga0531457_000067	MEM	273
Ga0531465_000090	MEM	273
Ga0531456_000021	REP	274
Ga0531460_000065	MEM	274
Ga0531459_000099	REP	275
Ga0531459_000100	REP	276
Ga0531455_000010	REP	277
Ga0531459_000103	MEM	277
Ga0531459_000101	REP	278
Ga0531457_000033	REP	279
Ga0531461_000047	MEM	279
Ga0531464_000054	REP	280
Ga0531462_000033	MEM	280
Ga0531463_000014	MEM	280
Ga0531465_000024	MEM	280
Ga0531457_000036	MEM	280
Ga0531461_000122	MEM	280
Ga0531461_000262	MEM	280
Ga0531457_000034	REP	281
Ga0531456_000022	REP	282
Ga0531465_000023	REP	283
Ga0531464_000069	MEM	283
Ga0531462_000133	MEM	283
Ga0531464_000055	REP	284
Ga0531459_000102	REP	285
Ga0531455_000011	REP	286
Ga0531459_000382	MEM	286
Ga0531459_001342	MEM	286
Ga0531457_000035	REP	287
Ga0531464_000056	REP	288
Ga0531462_000470	MEM	288
Ga0531462_000277	MEM	288
Ga0531464_000057	REP	289
Ga0531465_000025	MEM	289
Ga0531455_000012	REP	290
Ga0531459_001331	MEM	290
Ga0531459_000467	MEM	290
Ga0531464_000058	REP	291
Ga0531462_000139	MEM	291
Ga0531456_000023	REP	292
Ga0531456_000024	REP	293
Ga0531461_000015	REP	294
Ga0531457_000059	MEM	294
Ga0531464_000059	REP	295
Ga0531459_000104	REP	296
Ga0531459_000105	REP	297
Ga0531455_000190	MEM	297
Ga0531455_000188	MEM	297
Ga0531465_000026	REP	298
Ga0531462_000191	MEM	298
Ga0531464_000224	MEM	298
Ga0531464_000553	MEM	298
Ga0531462_000227	MEM	298
Ga0531459_000106	REP	299
Ga0531464_000060	REP	300
Ga0531465_000126	MEM	300
Ga0531455_000013	REP	301
Ga0531459_000107	REP	302
Ga0531464_000061	REP	303
Ga0531462_000036	REP	304
Ga0531459_000108	REP	305
Ga0531457_000037	REP	306
Ga0531461_000028	MEM	306
Ga0531462_000037	REP	307
Ga0531465_000079	MEM	307
Ga0531464_000392	MEM	307
Ga0531464_000632	MEM	307
Ga0531455_000014	REP	308
Ga0531459_000175	MEM	308
Ga0531457_000038	REP	309
Ga0531461_000089	MEM	309
Ga0531456_000025	REP	310
Ga0531460_000328	MEM	310
Ga0531462_000038	REP	311
Ga0531464_000168	MEM	311
Ga0531463_000112	MEM	311
Ga0531459_000109	REP	312
Ga0531456_000026	REP	313
Ga0531460_000182	MEM	313
Ga0531459_000110	REP	314
Ga0531455_000411	MEM	314
Ga0531455_000015	REP	315
Ga0531457_000039	REP	316
Ga0531465_000028	REP	317
Ga0531464_000064	MEM	317
Ga0531462_000057	MEM	317
Ga0531464_000063	REP	318
Ga0531465_000113	MEM	318
Ga0531462_000447	MEM	318
Ga0531457_000040	REP	319
Ga0531465_000102	MEM	319
Ga0531463_000063	MEM	319
Ga0531461_000110	MEM	319
Ga0531464_000065	REP	320
Ga0531465_000214	MEM	320
Ga0531465_000429	MEM	320
Ga0531460_000026	REP	321
Ga0531456_000821	MEM	321
Ga0531459_000111	REP	322
Ga0531457_000041	REP	323
Ga0531455_000016	REP	324
Ga0531459_000132	MEM	324
Ga0531462_000039	REP	325
Ga0531464_000171	MEM	325
Ga0531464_000066	REP	326
Ga0531462_000148	MEM	326
Ga0531462_000590	MEM	326
Ga0531464_000067	REP	327
Ga0531459_000112	REP	328
Ga0531459_000113	REP	329
Ga0531455_000113	MEM	329
Ga0531461_000016	REP	330
Ga0531457_000177	MEM	330
Ga0531457_000252	MEM	330
Ga0531457_000042	REP	331
Ga0531465_000030	REP	332
Ga0531462_000058	MEM	332
Ga0531464_000793	MEM	332
Ga0531464_001006	MEM	332
Ga0531461_000017	REP	333
Ga0531457_000049	MEM	333
Ga0531456_000027	REP	334
Ga0531460_000206	MEM	334
Ga0531460_000446	MEM	334
Ga0531460_000027	REP	335
Ga0531456_000134	MEM	335
Ga0531457_000043	REP	336
Ga0531459_000114	REP	337
Ga0531459_000115	REP	338
Ga0531464_000068	REP	339
Ga0531462_000157	MEM	339
Ga0531465_000120	MEM	339
Ga0531454_000010	REP	340
Ga0531459_000116	REP	341
Ga0531459_000117	REP	342
Ga0531457_000044	REP	343
Ga0531456_000028	REP	344
Ga0531460_000042	MEM	344
Ga0531460_000028	REP	345
Ga0531456_000360	MEM	345
Ga0531456_000029	REP	346
Ga0531460_000293	MEM	346
Ga0531460_000646	MEM	346
Ga0531460_000029	REP	347
Ga0531460_000030	REP	348
Ga0531456_000032	MEM	348
Ga0531459_000118	REP	349
Ga0531456_000030	REP	350
Ga0531460_000035	MEM	350
Ga0531456_000031	REP	351
Ga0531460_000606	MEM	351
Ga0531459_000119	REP	352
Ga0531455_000165	MEM	352
Ga0531455_000317	MEM	352
Ga0531464_000070	REP	353
Ga0531465_000031	REP	354
Ga0531464_000074	MEM	354
Ga0531464_000071	REP	355
Ga0531462_000042	REP	356
Ga0531464_000105	MEM	356
Ga0531465_000257	MEM	356
Ga0531464_000072	REP	357
Ga0531462_000082	MEM	357
Ga0531465_000266	MEM	357
Ga0531455_000017	REP	358
Ga0531459_000120	REP	359
Ga0531455_000251	MEM	359
Ga0531455_000266	MEM	359
Ga0531459_000121	REP	360
Ga0531460_000031	REP	361
Ga0531456_000080	MEM	361
Ga0531461_000018	REP	362
Ga0531457_000201	MEM	362
Ga0531462_000043	REP	363
Ga0531464_000235	MEM	363
Ga0531465_000352	MEM	363
Ga0531464_001247	MEM	363
Ga0531459_000122	REP	364
Ga0531464_000073	REP	365
Ga0531462_000256	MEM	365
Ga0531462_000317	MEM	365
Ga0531463_000009	REP	366
Ga0531464_000301	MEM	366
Ga0531464_000615	MEM	366
Ga0531459_000123	REP	367
Ga0531456_000033	REP	368
Ga0531460_000257	MEM	368
Ga0531454_000011	REP	369
Ga0531457_000045	REP	370
Ga0531461_000019	REP	371
Ga0531457_000089	MEM	371
Ga0531461_000020	REP	372
Ga0531457_000510	MEM	372
Ga0531464_000075	REP	373
Ga0531459_000124	REP	374
Ga0531465_000032	REP	375
Ga0531464_000076	MEM	375
Ga0531456_000034	REP	376
Ga0531460_000151	MEM	376
Ga0531460_000216	MEM	376
Ga0531459_000125	REP	377
Ga0531462_000044	REP	378
Ga0531464_000077	MEM	378
Ga0531465_000258	MEM	378
Ga0531463_000131	MEM	378
Ga0531460_000032	REP	379
Ga0531456_000035	MEM	379
Ga0531459_000126	REP	380
Ga0531460_000260	MEM	380
Ga0531456_000314	MEM	380
Ga0531454_000012	REP	381
Ga0531456_000036	REP	382
Ga0531459_000127	REP	383
Ga0531459_000128	REP	384
Ga0531460_000074	MEM	384
Ga0531458_00013	MEM	384
Ga0531455_000111	MEM	384
Ga0531454_000140	MEM	384
Ga0531459_000129	REP	385
Ga0531459_000130	REP	386
Ga0531460_000518	MEM	386
Ga0531459_000131	REP	387
Ga0531455_000216	MEM	387
Ga0531454_000013	REP	388
Ga0531459_000432	MEM	388
Ga0531459_001062	MEM	388
Ga0531457_000046	REP	389
Ga0531456_000037	REP	390
Ga0531460_000075	MEM	390
Ga0531460_000409	MEM	390
Ga0531455_000018	REP	391
Ga0531459_000133	REP	392
Ga0531461_000021	REP	393
Ga0531457_000115	MEM	393
Ga0531464_000078	REP	394
Ga0531462_000046	REP	395
Ga0531464_000348	MEM	395
Ga0531464_000696	MEM	395
Ga0531457_000047	REP	396
Ga0531459_000134	REP	397
Ga0531456_000038	REP	398
Ga0531460_000047	MEM	398
Ga0531462_000047	REP	399
Ga0531465_000274	MEM	399
Ga0531464_001591	MEM	399
Ga0531464_000079	REP	400
Ga0531456_000039	REP	401
Ga0531460_000138	MEM	401
Ga0531454_000014	REP	402
Ga0531459_000135	REP	403
Ga0531459_000136	REP	404
Ga0531457_000048	REP	405
Ga0531462_000759	MEM	405
Ga0531460_000033	REP	406
Ga0531456_000041	MEM	406
Ga0531455_000019	REP	407
Ga0531459_001543	MEM	407
Ga0531459_000138	REP	408
Ga0531455_000050	MEM	408
Ga0531461_000022	REP	409
Ga0531457_000256	MEM	409
Ga0531457_000365	MEM	409
Ga0531464_000081	REP	410
Ga0531462_000086	MEM	410
Ga0531465_000458	MEM	410
