vOTU_ID	Module	Source
Ga0531454_000144	Y762_L438_Gp4	BATS
Ga0531454_000152	SNF2	BATS
Ga0531454_000155	SNF2	BATS
Ga0531454_000156	Y762_Twinkle	BATS
Ga0531454_000157	L762	BATS
Ga0531454_000166	SNF2	BATS
Ga0531454_000180	P438	BATS
Ga0531454_000183	L762_PcrA	BATS
Ga0531454_000193	L762_PcrA_SNF2	BATS
Ga0531454_000194	L762	BATS
Ga0531454_000196	SNF2	BATS
Ga0531454_000197	L762	BATS
Ga0531454_000211	DnaB	BATS
Ga0531454_000235	PcrA_SNF2	BATS
Ga0531454_000238	L762_PcrA	BATS
Ga0531454_000242	UvrB	BATS
Ga0531454_000251	L762_UvrD_SNF2	BATS
Ga0531454_000269	SNF2	BATS
Ga0531454_000271	Y762_Gp4	BATS
Ga0531454_000272	Y762_L438_Gp4	BATS
Ga0531454_000273	F762_P438_DnaB	BATS
Ga0531454_000285	Y762_Gp4	BATS
Ga0531454_000291	SNF2	BATS
Ga0531454_000292	L762_UvrD	BATS
Ga0531454_000294	SNF2	BATS
Ga0531454_000296	Twinkle	BATS
Ga0531454_000300	F762_DnaB	BATS
Ga0531454_000305	L762_PcrA	BATS
Ga0531454_000313	P438	BATS
Ga0531454_000319	PcrA_SNF2	BATS
Ga0531454_000322	F762_P438_DnaB	BATS
Ga0531454_000326	L762	BATS
Ga0531454_000336	P438	BATS
Ga0531455_000001	P438_RecB_SNF2_DnaB	BATS
Ga0531455_000002	Y762_P438_Gp4	BATS
Ga0531455_000003	SNF2	BATS
Ga0531455_000004	RecB	BATS
Ga0531455_000009	Y762_Gp4	BATS
Ga0531455_000011	Y762_P438_Gp4	BATS
Ga0531455_000012	Y762_L438_Gp4	BATS
Ga0531455_000013	DnaB	BATS
Ga0531455_000015	DnaB	BATS
Ga0531455_000018	Y762_L438_Gp4	BATS
Ga0531455_000025	DnaB	BATS
Ga0531455_000033	RecB	BATS
Ga0531455_000034	DnaB	BATS
Ga0531455_000039	L762_PcrA	BATS
Ga0531455_000041	V438	BATS
Ga0531455_000047	P438	BATS
Ga0531455_000068	SNF2	BATS
Ga0531455_000078	P438_Gp4	BATS
Ga0531455_000080	V438_Gp4	BATS
Ga0531455_000087	F762_DnaB	BATS
Ga0531455_000092	SNF2	BATS
Ga0531455_000098	I438_Gp4	BATS
Ga0531455_000103	DnaB	BATS
Ga0531455_000115	P438_Gp41_RecA	BATS
Ga0531455_000117	F762	BATS
Ga0531455_000125	L762_PcrA_SNF2	BATS
Ga0531455_000132	Gp4	BATS
Ga0531455_000143	PcrA_SNF2	BATS
Ga0531455_000147	Y762_V438_Gp4	BATS
Ga0531455_000148	DnaB	BATS
Ga0531455_000159	Twinkle	BATS
Ga0531455_000166	SNF2	BATS
Ga0531455_000177	SNF2	BATS
Ga0531455_000195	DnaB	BATS
Ga0531455_000196	L438	BATS
Ga0531455_000199	Y762_P438	BATS
Ga0531455_000206	F762_DnaB	BATS
Ga0531455_000209	DnaB	BATS
Ga0531455_000219	Y762_P438_Gp4	BATS
Ga0531455_000227	Y762	BATS
Ga0531455_000228	L438	BATS
Ga0531455_000235	Twinkle	BATS
Ga0531455_000242	Y762_Gp4	BATS
Ga0531455_000244	F762_P438	BATS
Ga0531455_000260	Gp4	BATS
Ga0531455_000262	Gp4	BATS
Ga0531455_000275	Y762_Gp4	BATS
Ga0531455_000280	Y762_Gp4	BATS
Ga0531455_000283	F762_P438_DnaB	BATS
Ga0531455_000300	SNF2	BATS
Ga0531455_000302	Gp4	BATS
Ga0531455_000306	L762_SNF2	BATS
Ga0531455_000311	L762_PcrA_SNF2	BATS
Ga0531455_000313	DnaB	BATS
Ga0531455_000314	Y762	BATS
Ga0531455_000363	L762_PcrA	BATS
Ga0531455_000364	I438	BATS
Ga0531455_000372	Y762_Gp4	BATS
Ga0531455_000377	Y762_Gp4	BATS
Ga0531455_000401	F762_DnaB	BATS
Ga0531456_000001	L762_PcrA_SNF2	BATS
Ga0531456_000002	P438_RecB_DnaB_RecA	BATS
Ga0531456_000003	L762_PcrA_SNF2	BATS
Ga0531456_000006	SNF2_DnaB	BATS
Ga0531456_000008	L762_PcrA_SNF2	BATS
Ga0531456_000009	Y762_P438_Gp4	BATS
Ga0531456_000013	H762	BATS
Ga0531456_000014	UvrD_SNF2	BATS
Ga0531456_000015	Y762_A438_Gp4	BATS
Ga0531456_000017	F762	BATS
Ga0531456_000018	DnaB	BATS
Ga0531456_000024	P438	BATS
Ga0531456_000025	H762	BATS
Ga0531456_000026	F762	BATS
Ga0531456_000027	H762_L438	BATS
Ga0531456_000029	Y762_A438_Gp4	BATS
Ga0531456_000031	L762_PcrA_SNF2	BATS
Ga0531456_000033	UvsW_Twinkle	BATS
Ga0531456_000037	Y762_Twinkle	BATS
Ga0531456_000038	DnaB	BATS
Ga0531456_000042	UvsW_Twinkle	BATS
Ga0531456_000043	RecA	BATS
Ga0531456_000061	RecA	BATS
Ga0531456_000063	DnaB	BATS
Ga0531456_000079	RecB_SNF2	BATS
Ga0531456_000084	H762_RecD	BATS
Ga0531456_000087	RecB_DnaB_RecA	BATS
Ga0531456_000094	PcrA_SNF2	BATS
Ga0531456_000100	PcrA_SNF2	BATS
Ga0531456_000102	DnaB	BATS
Ga0531456_000103	DnaB	BATS
Ga0531456_000105	UvsW	BATS
Ga0531456_000106	DnaB	BATS
Ga0531456_000109	Y762	BATS
Ga0531456_000116	F762_P438_Gp41	BATS
Ga0531456_000120	DnaB	BATS
Ga0531456_000126	P438	BATS
Ga0531456_000127	DnaB	BATS
Ga0531456_000130	PcrA_SNF2	BATS
Ga0531456_000132	F762	BATS
Ga0531456_000135	F762	BATS
Ga0531456_000138	H762	BATS
Ga0531456_000156	P438_Gp41_RecA	BATS
Ga0531456_000158	L762_P438	BATS
Ga0531456_000159	F762_SNF2	BATS
Ga0531456_000162	P438_Gp41_RecA	BATS
Ga0531456_000169	F762_Gp4	BATS
Ga0531456_000170	L762_UvrD	BATS
Ga0531456_000173	P438	BATS
Ga0531456_000174	DnaB	BATS
Ga0531456_000179	F762	BATS
Ga0531456_000181	L762_PcrA_SNF2	BATS
Ga0531456_000185	DnaB	BATS
Ga0531456_000190	UvsW	BATS
Ga0531456_000193	DnaB	BATS
Ga0531456_000195	DnaB	BATS
Ga0531456_000202	DnaB	BATS
Ga0531456_000204	P438	BATS
Ga0531456_000209	L762_PcrA_SNF2	BATS
Ga0531456_000213	RecB	BATS
Ga0531456_000220	DnaB	BATS
Ga0531456_000228	F762	BATS
Ga0531456_000231	I438_Gp4	BATS
Ga0531456_000232	DnaB	BATS
Ga0531456_000233	SNF2	BATS
Ga0531456_000239	UvrD	BATS
Ga0531456_000244	Gp4	BATS
Ga0531456_000249	DnaB	BATS
Ga0531456_000251	P438_DnaB	BATS
Ga0531456_000254	P438_DnaB	BATS
Ga0531456_000260	RecB_UvsW	BATS
Ga0531456_000276	L762_PcrA_SNF2	BATS
Ga0531456_000281	RecB	BATS
Ga0531456_000286	H762	BATS
Ga0531456_000288	L438	BATS
Ga0531456_000289	SNF2	BATS
Ga0531456_000290	Y762_A438	BATS
Ga0531456_000293	F762	BATS
Ga0531456_000297	RecB	BATS
Ga0531456_000303	DnaB	BATS
Ga0531456_000307	P438	BATS
Ga0531456_000322	L762	BATS
Ga0531456_000327	RecB_UvsW	BATS
Ga0531456_000332	P438_Gp41_RecA	BATS
Ga0531456_000333	DnaB	BATS
Ga0531456_000336	F762_SNF2	BATS
Ga0531456_000337	L762_PcrA_SNF2	BATS
Ga0531456_000344	F762	BATS
Ga0531456_000347	P438	BATS
Ga0531456_000363	PcrA_SNF2	BATS
Ga0531456_000370	L762_P438	BATS
Ga0531456_000372	L762_PcrA	BATS
Ga0531456_000373	L762	BATS
Ga0531456_000377	PcrA	BATS
Ga0531456_000382	SNF2	BATS
Ga0531456_000383	DnaB	BATS
Ga0531456_000393	L762_UvrD_SNF2	BATS
Ga0531456_000409	L762_PcrA_SNF2	BATS
Ga0531456_000410	DnaB	BATS
Ga0531456_000415	H762	BATS
Ga0531456_000427	DnaB	BATS
Ga0531456_000430	Twinkle	BATS
Ga0531456_000441	DnaB	BATS
Ga0531456_000444	F762	BATS
Ga0531456_000465	L762	BATS
Ga0531456_000470	P438	BATS
Ga0531456_000487	L762_PcrA	BATS
Ga0531456_000498	F762	BATS
Ga0531456_000509	H762	BATS
Ga0531456_000514	L762_PcrA	BATS
Ga0531456_000525	Y762	BATS
Ga0531456_000530	SNF2	BATS
Ga0531456_000531	F762_P438	BATS
Ga0531456_000549	L762_UvrD	BATS
Ga0531456_000551	L762	BATS
Ga0531456_000554	RecB	BATS
Ga0531456_000565	Gp4	BATS
Ga0531456_000580	F762	BATS
Ga0531456_000582	L762_PcrA	BATS
Ga0531456_000593	H762	BATS
Ga0531456_000604	DnaB	BATS
Ga0531456_000616	DnaB	BATS
Ga0531456_000625	DnaB	BATS
Ga0531456_000629	H762	BATS
Ga0531456_000638	H762	BATS
Ga0531456_000642	SNF2	BATS
Ga0531456_000650	H762	BATS
Ga0531456_000674	Twinkle	BATS
Ga0531456_000684	DnaB	BATS
Ga0531456_000705	L762	BATS
Ga0531456_000709	P438_RecA	BATS
Ga0531456_000749	P438	BATS
Ga0531456_000755	SNF2	BATS
Ga0531456_000757	Y762_Gp4	BATS
Ga0531456_000759	PcrA_SNF2	BATS
Ga0531456_000763	Twinkle	BATS
Ga0531456_000772	H762_L438	BATS
Ga0531456_000776	DnaB	BATS
Ga0531456_000779	DnaB	BATS
Ga0531456_000792	RecB	BATS
Ga0531456_000797	Gp41	BATS
Ga0531456_000804	L762_PcrA	BATS
Ga0531456_000808	H762	BATS
Ga0531456_000809	SNF2	BATS
Ga0531456_000822	L762_PcrA	BATS
Ga0531456_000825	DnaB	BATS
Ga0531456_000827	H762	BATS
Ga0531456_000832	L762_PcrA	BATS
Ga0531456_000842	L438	BATS
Ga0531456_000844	SNF2	BATS
Ga0531456_000849	A438	BATS
Ga0531456_000856	SNF2	BATS
Ga0531456_000861	L762_PcrA	BATS
Ga0531456_000865	F762	BATS
Ga0531456_000866	RecD	BATS
Ga0531457_000001	SNF2	BATS
Ga0531457_000002	P438_SNF2_DnaB_RecA	BATS
Ga0531457_000003	RecB	BATS
Ga0531457_000004	P438_Gp41_RecA	BATS
Ga0531457_000005	L762_PcrA_SNF2	BATS
Ga0531457_000008	Y762_P438_Gp4	BATS
Ga0531457_000010	RecB	BATS
Ga0531457_000013	Y762	BATS
Ga0531457_000015	L762_PcrA_SNF2	BATS
Ga0531457_000016	F762_SNF2	BATS
Ga0531457_000017	F762_SNF2	BATS
Ga0531457_000021	L762	BATS
Ga0531457_000030	F762	BATS
Ga0531457_000032	F762	BATS
Ga0531457_000035	Gp41_RecA	BATS
Ga0531457_000038	L762_SNF2	BATS
Ga0531457_000040	F762_P438	BATS
Ga0531457_000042	Y762_P438_Gp4	BATS
Ga0531457_000043	P438	BATS
Ga0531457_000045	F762_P438_DnaB	BATS
Ga0531457_000046	F762	BATS
Ga0531457_000051	SNF2	BATS
Ga0531457_000052	F762	BATS
Ga0531457_000060	UvrD_SNF2	BATS
Ga0531457_000065	DnaB	BATS
Ga0531457_000070	F762_P438_DnaB	BATS
Ga0531457_000073	Y762_P438_Gp4	BATS
Ga0531457_000074	F762	BATS
Ga0531457_000081	DnaB	BATS
Ga0531457_000090	P438	BATS
Ga0531457_000105	L762_UvrD_SNF2	BATS
Ga0531457_000106	UvsW	BATS
Ga0531457_000108	L762_PcrA_SNF2	BATS
Ga0531457_000112	SNF2	BATS
Ga0531457_000113	PcrA_SNF2	BATS
Ga0531457_000124	Twinkle	BATS
Ga0531457_000133	H762	BATS
Ga0531457_000134	F762_SNF2	BATS
Ga0531457_000140	SNF2	BATS
Ga0531457_000144	F762_SNF2	BATS
Ga0531457_000152	SNF2	BATS
Ga0531457_000154	SNF2	BATS
Ga0531457_000160	L762_PcrA	BATS
Ga0531457_000168	L762	BATS
Ga0531457_000171	H762_RecB	BATS
Ga0531457_000178	L762	BATS
Ga0531457_000180	F762	BATS
Ga0531457_000187	L762_UvrD_SNF2	BATS
Ga0531457_000192	F762_P438	BATS
Ga0531457_000197	SNF2	BATS
Ga0531457_000202	PcrA_SNF2	BATS
Ga0531457_000208	L762	BATS
Ga0531457_000211	Twinkle	BATS
Ga0531457_000214	SNF2	BATS
Ga0531457_000221	L762_PcrA_SNF2	BATS
Ga0531457_000232	DnaB	BATS
Ga0531457_000237	L762_SNF2	BATS
Ga0531457_000243	UvsW_Twinkle	BATS
Ga0531457_000251	Y762_Gp4	BATS
Ga0531457_000259	SNF2	BATS
Ga0531457_000264	SNF2	BATS
Ga0531457_000270	L762_PcrA	BATS
Ga0531457_000278	SNF2	BATS
Ga0531457_000283	L762_PcrA_RecB	BATS
Ga0531457_000286	SNF2	BATS
Ga0531457_000295	F762_SNF2	BATS
Ga0531457_000296	DnaB	BATS
Ga0531457_000307	P438_DnaB	BATS
Ga0531457_000314	Twinkle	BATS
Ga0531457_000324	SNF2	BATS
Ga0531457_000328	Y762	BATS
Ga0531457_000330	F762	BATS
Ga0531457_000333	L762	BATS
Ga0531457_000338	L762_SNF2	BATS
Ga0531457_000351	L762	BATS
Ga0531457_000354	SNF2	BATS
Ga0531457_000359	RecD	BATS
Ga0531457_000369	SNF2	BATS
Ga0531457_000371	F762_SNF2	BATS
Ga0531457_000373	DnaB	BATS
Ga0531457_000391	SNF2	BATS
Ga0531457_000400	F762	BATS
Ga0531457_000403	L762	BATS
Ga0531457_000407	Y762	BATS
Ga0531457_000428	UvrB	BATS
Ga0531457_000446	RecB	BATS
Ga0531457_000447	F762	BATS
Ga0531457_000458	H762	BATS
Ga0531457_000464	DnaB	BATS
Ga0531457_000472	Y762_P438_Gp4	BATS
Ga0531457_000480	RecD	BATS
Ga0531457_000481	PcrA_SNF2	BATS
Ga0531457_000487	F762	BATS
Ga0531457_000504	DnaB	BATS
Ga0531457_000505	P438	BATS
Ga0531457_000523	DnaB	BATS
Ga0531457_000534	SNF2	BATS
Ga0531457_000538	UvsW	BATS
Ga0531457_000540	L762_PcrA_SNF2	BATS
Ga0531457_000545	SNF2	BATS
Ga0531457_000549	P438	BATS
Ga0531457_000550	L762_PcrA	BATS
Ga0531457_000553	L762	BATS
Ga0531457_000566	DnaB	BATS
Ga0531457_000580	Twinkle	BATS
Ga0531457_000583	F762	BATS
Ga0531457_000589	DnaB	BATS
Ga0531457_000590	L762_PcrA_SNF2	BATS
Ga0531457_000594	L762	BATS
Ga0531457_000614	F762	BATS
Ga0531457_000617	L762_PcrA_SNF2	BATS
Ga0531457_000633	F762_DnaB	BATS
Ga0531457_000650	H762	BATS
Ga0531457_000664	L762_PcrA	BATS
Ga0531457_000674	L762_PcrA	BATS
Ga0531457_000682	PcrA_SNF2	BATS
Ga0531457_000685	Twinkle	BATS
Ga0531457_000722	P438	BATS
Ga0531457_000743	A438	BATS
Ga0531457_000752	SNF2_DnaB	BATS
Ga0531457_000753	L762_PcrA	BATS
Ga0531457_000760	L762_P438	BATS
Ga0531457_000778	DnaB	BATS
Ga0531457_000798	RecD	BATS
Ga0531457_000809	F762	BATS
Ga0531457_000810	SNF2	BATS
Ga0531458_00002	Twinkle	BATS
Ga0531458_00003	Y762_P438_Gp4	BATS
Ga0531458_00008	DnaB	BATS
Ga0531458_00010	F762_DnaB	BATS
Ga0531458_00012	DnaB	BATS
Ga0531458_00015	DnaB	BATS
Ga0531458_00023	F762_DnaB	BATS
Ga0531458_00024	F762_P438_DnaB	BATS
Ga0531458_00031	Gp4	BATS
Ga0531458_00034	DnaB	BATS
Ga0531458_00066	Gp4	BATS
Ga0531458_00070	Gp4	BATS
Ga0531458_00072	Y762_Gp4	BATS
Ga0531459_000001	L438_UvrB_Twinkle	BATS
Ga0531459_000002	P438_Gp41_RecA	BATS
Ga0531459_000003	P438	BATS
Ga0531459_000004	P438_RecB_SNF2	BATS
Ga0531459_000005	P438	BATS
Ga0531459_000006	L438_DnaB_RecA	BATS
Ga0531459_000007	F762_P438_RecB_UvsW_Gp41	BATS
Ga0531459_000008	RecB	BATS
Ga0531459_000009	L762	BATS
Ga0531459_000010	L762_PcrA_SNF2	BATS
Ga0531459_000011	P438	BATS
Ga0531459_000013	L762_PcrA_SNF2	BATS
Ga0531459_000015	L762_P438_SNF2	BATS
Ga0531459_000016	Gp4	BATS
Ga0531459_000017	L438_DnaB_RecA	BATS
Ga0531459_000018	Y762_P438_Gp4	BATS
Ga0531459_000020	L762_PcrA_SNF2	BATS
Ga0531459_000021	H762_A438	BATS
Ga0531459_000022	L762_PcrA_SNF2	BATS
Ga0531459_000023	F762_P438_DnaB	BATS
Ga0531459_000024	SNF2	BATS
Ga0531459_000025	P438_DnaB_RecA	BATS
Ga0531459_000026	Y762_P438_Gp4	BATS
Ga0531459_000028	L438	BATS
Ga0531459_000029	RecB	BATS
Ga0531459_000030	Y762_P438	BATS
Ga0531459_000034	SNF2	BATS
Ga0531459_000037	F762_A438_DnaB	BATS
Ga0531459_000038	PcrA_SNF2	BATS
Ga0531459_000039	DnaB	BATS
