vOTU_ID	genofeature_module
CP000711	DnaB
CP002889	UvrB_Twinkle
CP003186	SNF2
CP011103	L762_SNF2
CP019719	DnaB
CP027117	F762_L438_SNF2_DnaB_UvsX
CP051272	DnaB
CP051279	DnaB
CP053388	L438_UvrB_Gp41_RecA
CP054387	L438_RecG_Gp41_RecA
CP058330	L438_UvrB_Gp41_RecA
CP063968	L762_SNF2
CP067347	RecB
CP067352	RecB
CP069348	RecB
CP101896	L438_UvrB_Gp41_RecA
CP115737	DnaB
DQ003639	RecG_Twinkle
DQ029335	Y762_Gp4
DQ121662	UvsW_Twinkle
DQ149023	L438_UvsW_Gp41_UvsX
DQ163912	DnaB
DQ372923	DnaB
DQ398043	F762_P438
DQ398044	L762_UvsW
DQ499600	L438_SNF2_Twinkle
DQ500118	UvrB
DQ535032	F762
DQ777876	F762
DQ831957	DnaB
DQ834250	DnaB
DQ864624	L762_SNF2_Twinkle
DQ875742	F762_Gp4
EF057797	Twinkle
EF153632	RecD_SNF2
EF177456	L762_SNF2
EF372997	Y762_V438_Gp4
EF523948	UvrB
EF583821	L438_PcrA_SNF2_DnaB_RecA
EU197055	L438_SNF2
EU409559	UvrB_Twinkle
EU734171	Y762_Gp4
EU734172	Y762_Gp4
EU734173	Y762_Gp4
EU734174	Gp4
EU744248	F762
EU744250	F762_P438_Gp4
EU770221	L762_UvsW
EU770222	SNF2_Twinkle
EU794049	L762_SNF2
EU826466	SNF2_DnaB_RecA
EU861004	DnaB
EU863409	L438_Dda_UvsW_Gp41_UvsX
EU887664	DnaB
FJ174693	SNF2
FJ194439	Y762_Gp4
FJ226752	UvrB_Twinkle
FJ591094	F762_P438_Dda
FJ750948	L762_SNF2
FJ822135	F762_UvsW_Gp41_RecA
FJ896200	F762
FJ982340	DnaB
FM201281	RecD_SNF2
FM207411	L438_UvsW_Gp41_UvsX
FN263372	F762
FN422398	F762_Dda
FN594518	F762
FN667788	L438_RecB_Gp41
FN997652	L762_SNF2_Twinkle
FO818745	SNF2_DnaB
FQ482085	DnaB
FQ482086	Gp4
FR667955	Gp4
FR687252	F762
FR751545	F762_DnaB
FR823298	Y762_Gp4
GQ241246	SNF2
GQ334450	P438_DnaB
GQ357915	I438_UvsW_Gp41
GQ379227	F762_Twinkle
GQ398772	DnaB
GQ403788	L762_SNF2
GQ413937	Y762_Gp4
GQ413938	F762
GQ421471	SNF2_Twinkle
GQ422450	DnaB
GQ478088	L762_SNF2
GQ502199	L762_SNF2
GU071092	L438_UvsW_Gp41_UvsX
GU071094	L438_RecB_UvsW_Gp41_UvsX
GU071095	L438_UvsW_Gp41_UvsX
GU071097	L438_UvsW_Gp41_UvsX
GU071098	L438_UvsW_Gp41_UvsX
GU071099	L438_UvsW_Gp41_UvsX
GU071100	Y762_V438_Gp4
GU071101	L438_UvsW_Gp41_UvsX
GU071102	V438_Gp4
GU071103	L438_UvsW_Gp41_UvsX
GU071104	V438_Gp4
GU071106	L438_UvsW_Gp41_UvsX
GU071107	Gp4
GU075905	L438_UvsW_Gp41_UvsX
GU169904	L762_Y762_L438_SNF2_Gp4
GU196277	L762_SNF2
GU196278	L762_SNF2
GU196281	L762_SNF2
GU247132	F762_RecB
GU296433	RecB_UvsW_DnaB_UvsX
GU323318	L438_Dda_UvsW_Gp41_UvsX
GU396103	L438_Dda_UvsW_Gp41_UvsX
GU557055	F762_P438_DnaB
GU568037	DnaB
GU580940	SNF2
GU580941	Twinkle
GU580942	Twinkle
GU580943	L762_UvsW
GU583987	Y762_Gp4
GU815339	Twinkle
GU903191	UvsW_Twinkle
GU911303	DnaB
GU911519	L438_Dda_UvsW_Gp41
GU936714	P438_DnaB
GU936715	SNF2
Ga0531454_000001	L762_PcrA_SNF2
Ga0531454_000003	F762_L438_DnaB
Ga0531454_000007	Gp4
Ga0531454_000009	F762_DnaB
Ga0531454_000010	L762_PcrA_SNF2
Ga0531454_000011	DnaB
Ga0531454_000012	L762_PcrA_SNF2
Ga0531454_000013	DnaB
Ga0531454_000015	DnaB
Ga0531454_000016	Y762_L438_Gp4
Ga0531454_000018	F762_P438_DnaB
Ga0531454_000019	Y762_L438_Gp4
Ga0531454_000022	Gp4
Ga0531454_000023	F762_DnaB
Ga0531454_000024	F762_DnaB
Ga0531454_000025	L762_UvrD_SNF2
Ga0531454_000028	L762_PcrA_SNF2
Ga0531454_000030	Gp4
Ga0531454_000032	L762_PcrA_SNF2
Ga0531454_000034	Y762_L438_Gp4
Ga0531454_000038	SNF2
Ga0531454_000039	F762_P438_DnaB
Ga0531454_000043	L762_RecD_SNF2
Ga0531454_000044	F762_A438_DnaB
Ga0531454_000046	DnaB
Ga0531454_000049	L762_PcrA_SNF2
Ga0531454_000052	F762_DnaB
Ga0531454_000057	PcrA_SNF2
Ga0531454_000065	L762_PcrA_SNF2
Ga0531454_000066	SNF2
Ga0531454_000071	SNF2
Ga0531454_000072	L438
Ga0531454_000077	DnaB
Ga0531454_000086	L762_PcrA_SNF2
Ga0531454_000088	F762_P438_DnaB
Ga0531454_000092	DnaB
Ga0531454_000094	SNF2
Ga0531454_000095	F762_P438_DnaB
Ga0531454_000101	L762
Ga0531454_000103	L762_SNF2
Ga0531454_000109	PcrA_SNF2
Ga0531454_000121	Y762_P438_Gp4
Ga0531454_000123	DnaB
Ga0531454_000126	PcrA_SNF2
Ga0531454_000127	Gp4
Ga0531454_000130	I438
Ga0531454_000136	Twinkle
Ga0531454_000141	Y762_Gp4
Ga0531454_000144	Y762_L438_Gp4
Ga0531454_000152	SNF2
Ga0531454_000155	SNF2
Ga0531454_000156	Y762_Twinkle
Ga0531454_000157	L762
Ga0531454_000166	SNF2
Ga0531454_000180	P438
Ga0531454_000183	L762_PcrA
Ga0531454_000193	L762_PcrA_SNF2
Ga0531454_000194	L762
Ga0531454_000196	SNF2
Ga0531454_000197	L762
Ga0531454_000211	DnaB
Ga0531454_000235	PcrA_SNF2
Ga0531454_000238	L762_PcrA
Ga0531454_000242	UvrB
Ga0531454_000251	L762_UvrD_SNF2
Ga0531454_000269	SNF2
Ga0531454_000271	Y762_Gp4
Ga0531454_000272	Y762_L438_Gp4
Ga0531454_000273	F762_P438_DnaB
Ga0531454_000285	Y762_Gp4
Ga0531454_000291	SNF2
Ga0531454_000292	L762_UvrD
Ga0531454_000294	SNF2
Ga0531454_000296	Twinkle
Ga0531454_000300	F762_DnaB
Ga0531454_000305	L762_PcrA
Ga0531454_000313	P438
Ga0531454_000319	PcrA_SNF2
Ga0531454_000322	F762_P438_DnaB
Ga0531454_000326	L762
Ga0531454_000336	P438
Ga0531455_000001	P438_RecB_SNF2_DnaB
Ga0531455_000002	Y762_P438_Gp4
Ga0531455_000003	SNF2
Ga0531455_000004	RecB
Ga0531455_000009	Y762_Gp4
Ga0531455_000011	Y762_P438_Gp4
Ga0531455_000012	Y762_L438_Gp4
Ga0531455_000013	DnaB
Ga0531455_000015	DnaB
Ga0531455_000018	Y762_L438_Gp4
Ga0531455_000025	DnaB
Ga0531455_000033	RecB
Ga0531455_000034	DnaB
Ga0531455_000039	L762_PcrA
Ga0531455_000041	V438
Ga0531455_000047	P438
Ga0531455_000068	SNF2
Ga0531455_000078	P438_Gp4
Ga0531455_000080	V438_Gp4
Ga0531455_000087	F762_DnaB
Ga0531455_000092	SNF2
Ga0531455_000098	I438_Gp4
Ga0531455_000103	DnaB
Ga0531455_000115	P438_Gp41_RecA
Ga0531455_000117	F762
Ga0531455_000125	L762_PcrA_SNF2
Ga0531455_000132	Gp4
Ga0531455_000143	PcrA_SNF2
Ga0531455_000147	Y762_V438_Gp4
Ga0531455_000148	DnaB
Ga0531455_000159	Twinkle
Ga0531455_000166	SNF2
Ga0531455_000177	SNF2
Ga0531455_000195	DnaB
Ga0531455_000196	L438
Ga0531455_000199	Y762_P438
Ga0531455_000206	F762_DnaB
Ga0531455_000209	DnaB
Ga0531455_000219	Y762_P438_Gp4
Ga0531455_000227	Y762
Ga0531455_000228	L438
Ga0531455_000235	Twinkle
Ga0531455_000242	Y762_Gp4
Ga0531455_000244	F762_P438
Ga0531455_000260	Gp4
Ga0531455_000262	Gp4
Ga0531455_000275	Y762_Gp4
Ga0531455_000280	Y762_Gp4
Ga0531455_000283	F762_P438_DnaB
Ga0531455_000300	SNF2
Ga0531455_000302	Gp4
Ga0531455_000306	L762_SNF2
Ga0531455_000311	L762_PcrA_SNF2
Ga0531455_000313	DnaB
Ga0531455_000314	Y762
Ga0531455_000363	L762_PcrA
Ga0531455_000364	I438
Ga0531455_000372	Y762_Gp4
Ga0531455_000377	Y762_Gp4
Ga0531455_000401	F762_DnaB
Ga0531456_000001	L762_PcrA_SNF2
Ga0531456_000002	P438_RecB_DnaB_RecA
Ga0531456_000003	L762_PcrA_SNF2
Ga0531456_000006	SNF2_DnaB
Ga0531456_000008	L762_PcrA_SNF2
Ga0531456_000009	Y762_P438_Gp4
Ga0531456_000013	H762
Ga0531456_000014	UvrD_SNF2
Ga0531456_000015	Y762_A438_Gp4
Ga0531456_000017	F762
Ga0531456_000018	DnaB
Ga0531456_000024	P438
Ga0531456_000025	H762
Ga0531456_000026	F762
Ga0531456_000027	H762_L438
Ga0531456_000029	Y762_A438_Gp4
Ga0531456_000031	L762_PcrA_SNF2
Ga0531456_000033	UvsW_Twinkle
Ga0531456_000037	Y762_Twinkle
Ga0531456_000038	DnaB
Ga0531456_000042	UvsW_Twinkle
Ga0531456_000043	RecA
Ga0531456_000061	RecA
Ga0531456_000063	DnaB
Ga0531456_000079	RecB_SNF2
Ga0531456_000084	H762_RecD
Ga0531456_000087	RecB_DnaB_RecA
Ga0531456_000094	PcrA_SNF2
Ga0531456_000100	PcrA_SNF2
Ga0531456_000102	DnaB
Ga0531456_000103	DnaB
Ga0531456_000105	UvsW
Ga0531456_000106	DnaB
Ga0531456_000109	Y762
Ga0531456_000116	F762_P438_Gp41
Ga0531456_000120	DnaB
Ga0531456_000126	P438
Ga0531456_000127	DnaB
Ga0531456_000130	PcrA_SNF2
Ga0531456_000132	F762
Ga0531456_000135	F762
Ga0531456_000138	H762
Ga0531456_000156	P438_Gp41_RecA
Ga0531456_000158	L762_P438
Ga0531456_000159	F762_SNF2
Ga0531456_000162	P438_Gp41_RecA
Ga0531456_000169	F762_Gp4
Ga0531456_000170	L762_UvrD
Ga0531456_000173	P438
Ga0531456_000174	DnaB
Ga0531456_000179	F762
Ga0531456_000181	L762_PcrA_SNF2
Ga0531456_000185	DnaB
Ga0531456_000190	UvsW
Ga0531456_000193	DnaB
Ga0531456_000195	DnaB
Ga0531456_000202	DnaB
Ga0531456_000204	P438
Ga0531456_000209	L762_PcrA_SNF2
Ga0531456_000213	RecB
Ga0531456_000220	DnaB
Ga0531456_000228	F762
Ga0531456_000231	I438_Gp4
Ga0531456_000232	DnaB
Ga0531456_000233	SNF2
Ga0531456_000239	UvrD
Ga0531456_000244	Gp4
Ga0531456_000249	DnaB
Ga0531456_000251	P438_DnaB
Ga0531456_000254	P438_DnaB
Ga0531456_000260	RecB_UvsW
Ga0531456_000276	L762_PcrA_SNF2
Ga0531456_000281	RecB
Ga0531456_000286	H762
Ga0531456_000288	L438
Ga0531456_000289	SNF2
Ga0531456_000290	Y762_A438
Ga0531456_000293	F762
Ga0531456_000297	RecB
Ga0531456_000303	DnaB
Ga0531456_000307	P438
Ga0531456_000322	L762
Ga0531456_000327	RecB_UvsW
Ga0531456_000332	P438_Gp41_RecA
Ga0531456_000333	DnaB
Ga0531456_000336	F762_SNF2
Ga0531456_000337	L762_PcrA_SNF2
Ga0531456_000344	F762
Ga0531456_000347	P438
Ga0531456_000363	PcrA_SNF2
Ga0531456_000370	L762_P438
Ga0531456_000372	L762_PcrA
Ga0531456_000373	L762
Ga0531456_000377	PcrA
Ga0531456_000382	SNF2
Ga0531456_000383	DnaB
Ga0531456_000393	L762_UvrD_SNF2
Ga0531456_000409	L762_PcrA_SNF2
Ga0531456_000410	DnaB
Ga0531456_000415	H762
Ga0531456_000427	DnaB
Ga0531456_000430	Twinkle
Ga0531456_000441	DnaB
Ga0531456_000444	F762
Ga0531456_000465	L762
Ga0531456_000470	P438
Ga0531456_000487	L762_PcrA
Ga0531456_000498	F762
Ga0531456_000509	H762
Ga0531456_000514	L762_PcrA
Ga0531456_000525	Y762
Ga0531456_000530	SNF2
Ga0531456_000531	F762_P438
Ga0531456_000549	L762_UvrD
Ga0531456_000551	L762
Ga0531456_000554	RecB
Ga0531456_000565	Gp4
Ga0531456_000580	F762
Ga0531456_000582	L762_PcrA
Ga0531456_000593	H762
Ga0531456_000604	DnaB
Ga0531456_000616	DnaB
Ga0531456_000625	DnaB
Ga0531456_000629	H762
Ga0531456_000638	H762
Ga0531456_000642	SNF2
Ga0531456_000650	H762
Ga0531456_000674	Twinkle
Ga0531456_000684	DnaB
Ga0531456_000705	L762
Ga0531456_000709	P438_RecA
Ga0531456_000749	P438
Ga0531456_000755	SNF2
Ga0531456_000757	Y762_Gp4
Ga0531456_000759	PcrA_SNF2
Ga0531456_000763	Twinkle
Ga0531456_000772	H762_L438
Ga0531456_000776	DnaB
Ga0531456_000779	DnaB
Ga0531456_000792	RecB
Ga0531456_000797	Gp41
Ga0531456_000804	L762_PcrA
Ga0531456_000808	H762
Ga0531456_000809	SNF2
Ga0531456_000822	L762_PcrA
Ga0531456_000825	DnaB
Ga0531456_000827	H762
Ga0531456_000832	L762_PcrA
Ga0531456_000842	L438
Ga0531456_000844	SNF2
Ga0531456_000849	A438
Ga0531456_000856	SNF2
Ga0531456_000861	L762_PcrA
Ga0531456_000865	F762
Ga0531456_000866	RecD
Ga0531457_000001	SNF2
Ga0531457_000002	P438_SNF2_DnaB_RecA
Ga0531457_000003	RecB
Ga0531457_000004	P438_Gp41_RecA
Ga0531457_000005	L762_PcrA_SNF2
Ga0531457_000008	Y762_P438_Gp4
Ga0531457_000010	RecB
Ga0531457_000013	Y762
Ga0531457_000015	L762_PcrA_SNF2
Ga0531457_000016	F762_SNF2
Ga0531457_000017	F762_SNF2
Ga0531457_000021	L762
Ga0531457_000030	F762
Ga0531457_000032	F762
Ga0531457_000035	Gp41_RecA
Ga0531457_000038	L762_SNF2
Ga0531457_000040	F762_P438
Ga0531457_000042	Y762_P438_Gp4
Ga0531457_000043	P438
Ga0531457_000045	F762_P438_DnaB
Ga0531457_000046	F762
Ga0531457_000051	SNF2
Ga0531457_000052	F762
Ga0531457_000060	UvrD_SNF2
Ga0531457_000065	DnaB
Ga0531457_000070	F762_P438_DnaB
Ga0531457_000073	Y762_P438_Gp4
Ga0531457_000074	F762
Ga0531457_000081	DnaB
Ga0531457_000090	P438
Ga0531457_000105	L762_UvrD_SNF2
Ga0531457_000106	UvsW
Ga0531457_000108	L762_PcrA_SNF2
Ga0531457_000112	SNF2
Ga0531457_000113	PcrA_SNF2
Ga0531457_000124	Twinkle
Ga0531457_000133	H762
Ga0531457_000134	F762_SNF2
Ga0531457_000140	SNF2
Ga0531457_000144	F762_SNF2
Ga0531457_000152	SNF2
Ga0531457_000154	SNF2
Ga0531457_000160	L762_PcrA
Ga0531457_000168	L762
Ga0531457_000171	H762_RecB
Ga0531457_000178	L762
Ga0531457_000180	F762
Ga0531457_000187	L762_UvrD_SNF2
Ga0531457_000192	F762_P438
Ga0531457_000197	SNF2
Ga0531457_000202	PcrA_SNF2
Ga0531457_000208	L762
Ga0531457_000211	Twinkle
Ga0531457_000214	SNF2
Ga0531457_000221	L762_PcrA_SNF2
Ga0531457_000232	DnaB
Ga0531457_000237	L762_SNF2
Ga0531457_000243	UvsW_Twinkle
Ga0531457_000251	Y762_Gp4
Ga0531457_000259	SNF2
Ga0531457_000264	SNF2
Ga0531457_000270	L762_PcrA
Ga0531457_000278	SNF2
Ga0531457_000283	L762_PcrA_RecB
Ga0531457_000286	SNF2
Ga0531457_000295	F762_SNF2
Ga0531457_000296	DnaB
Ga0531457_000307	P438_DnaB
Ga0531457_000314	Twinkle
Ga0531457_000324	SNF2
Ga0531457_000328	Y762
Ga0531457_000330	F762
Ga0531457_000333	L762
Ga0531457_000338	L762_SNF2
Ga0531457_000351	L762
Ga0531457_000354	SNF2
Ga0531457_000359	RecD
Ga0531457_000369	SNF2
Ga0531457_000371	F762_SNF2
Ga0531457_000373	DnaB
Ga0531457_000391	SNF2
Ga0531457_000400	F762
Ga0531457_000403	L762
Ga0531457_000407	Y762
Ga0531457_000428	UvrB
Ga0531457_000446	RecB
Ga0531457_000447	F762
Ga0531457_000458	H762
Ga0531457_000464	DnaB
Ga0531457_000472	Y762_P438_Gp4
Ga0531457_000480	RecD
Ga0531457_000481	PcrA_SNF2
Ga0531457_000487	F762
Ga0531457_000504	DnaB
Ga0531457_000505	P438
Ga0531457_000523	DnaB
Ga0531457_000534	SNF2
Ga0531457_000538	UvsW
Ga0531457_000540	L762_PcrA_SNF2
Ga0531457_000545	SNF2
Ga0531457_000549	P438
Ga0531457_000550	L762_PcrA
Ga0531457_000553	L762
Ga0531457_000566	DnaB
Ga0531457_000580	Twinkle
Ga0531457_000583	F762
Ga0531457_000589	DnaB
Ga0531457_000590	L762_PcrA_SNF2
Ga0531457_000594	L762
Ga0531457_000614	F762
Ga0531457_000617	L762_PcrA_SNF2
Ga0531457_000633	F762_DnaB
Ga0531457_000650	H762
Ga0531457_000664	L762_PcrA
Ga0531457_000674	L762_PcrA
Ga0531457_000682	PcrA_SNF2
Ga0531457_000685	Twinkle
Ga0531457_000722	P438
Ga0531457_000743	A438
Ga0531457_000752	SNF2_DnaB
Ga0531457_000753	L762_PcrA
Ga0531457_000760	L762_P438
Ga0531457_000778	DnaB
Ga0531457_000798	RecD
Ga0531457_000809	F762
Ga0531457_000810	SNF2
Ga0531458_00002	Twinkle
Ga0531458_00003	Y762_P438_Gp4
Ga0531458_00008	DnaB
Ga0531458_00010	F762_DnaB
Ga0531458_00012	DnaB
Ga0531458_00015	DnaB
Ga0531458_00023	F762_DnaB
Ga0531458_00024	F762_P438_DnaB
Ga0531458_00031	Gp4
Ga0531458_00034	DnaB
Ga0531458_00066	Gp4
Ga0531458_00070	Gp4
Ga0531458_00072	Y762_Gp4
Ga0531459_000001	L438_UvrB_Twinkle
Ga0531459_000002	P438_Gp41_RecA
Ga0531459_000003	P438
Ga0531459_000004	P438_RecB_SNF2
Ga0531459_000005	P438
Ga0531459_000006	L438_DnaB_RecA
Ga0531459_000007	F762_P438_RecB_UvsW_Gp41
Ga0531459_000008	RecB
Ga0531459_000009	L762
Ga0531459_000010	L762_PcrA_SNF2
Ga0531459_000011	P438
Ga0531459_000013	L762_PcrA_SNF2
Ga0531459_000015	L762_P438_SNF2
Ga0531459_000016	Gp4
Ga0531459_000017	L438_DnaB_RecA
Ga0531459_000018	Y762_P438_Gp4
Ga0531459_000020	L762_PcrA_SNF2
Ga0531459_000021	H762_A438
Ga0531459_000022	L762_PcrA_SNF2
Ga0531459_000023	F762_P438_DnaB
Ga0531459_000024	SNF2
Ga0531459_000025	P438_DnaB_RecA
Ga0531459_000026	Y762_P438_Gp4
Ga0531459_000028	L438
Ga0531459_000029	RecB
Ga0531459_000030	Y762_P438
Ga0531459_000034	SNF2
Ga0531459_000037	F762_A438_DnaB
Ga0531459_000038	PcrA_SNF2
Ga0531459_000039	DnaB
Ga0531459_000040	Twinkle
Ga0531459_000041	DnaB
Ga0531459_000042	DnaB
Ga0531459_000043	L762_PcrA_SNF2
Ga0531459_000044	Y762_P438_Gp4
Ga0531459_000045	Twinkle
Ga0531459_000046	DnaB
Ga0531459_000047	L438
Ga0531459_000049	P438_Gp4
Ga0531459_000053	RecB
Ga0531459_000054	Gp4
Ga0531459_000055	Y762_P438_Gp4
Ga0531459_000056	L762_SNF2
Ga0531459_000058	P438
Ga0531459_000060	P438
Ga0531459_000061	P438
Ga0531459_000062	H762_RecD
Ga0531459_000063	DnaB
Ga0531459_000064	L762_PcrA_SNF2
Ga0531459_000065	H762_RecD
Ga0531459_000066	DnaB
Ga0531459_000067	Y762_V438_Gp4
Ga0531459_000068	L438_DnaB_RecA
Ga0531459_000069	L762_PcrA_RecB_SNF2
Ga0531459_000070	DnaB_RecA
Ga0531459_000071	L762_SNF2
Ga0531459_000072	RecB
Ga0531459_000073	L438
Ga0531459_000074	L762_PcrA_SNF2
Ga0531459_000075	H762
Ga0531459_000076	H762
Ga0531459_000077	H762
Ga0531459_000078	Y762_P438_Gp4
Ga0531459_000079	F762_Twinkle
Ga0531459_000080	UvsW
Ga0531459_000081	H762_L438
Ga0531459_000084	Gp4
Ga0531459_000086	F762
Ga0531459_000087	A438
Ga0531459_000089	DnaB
Ga0531459_000090	L438_DnaB_RecA
Ga0531459_000092	H762
Ga0531459_000098	SNF2_Twinkle
Ga0531459_000114	L762_PcrA
Ga0531459_000115	Y762_P438_Gp4
Ga0531459_000120	DnaB
Ga0531459_000122	Gp4
Ga0531459_000123	SNF2_Twinkle
Ga0531459_000125	DnaB
Ga0531459_000126	RecB
Ga0531459_000128	L762_PcrA_SNF2
Ga0531459_000130	F762_SNF2
Ga0531459_000131	L762_PcrA_SNF2
Ga0531459_000133	UvrB
Ga0531459_000134	DnaB
Ga0531459_000140	A438
Ga0531459_000142	Y762_P438_Gp4
Ga0531459_000146	DnaB
Ga0531459_000147	SNF2
Ga0531459_000148	P438
Ga0531459_000152	SNF2
Ga0531459_000157	Y762_L438_Gp4
Ga0531459_000159	SNF2
Ga0531459_000162	L762_PcrA_SNF2
Ga0531459_000163	DnaB
Ga0531459_000164	Gp4
Ga0531459_000165	PcrA_SNF2
Ga0531459_000169	F762_P438_DnaB_RecA
Ga0531459_000177	Gp4
Ga0531459_000181	Gp4
Ga0531459_000184	SNF2_UvrB
Ga0531459_000192	F762_DnaB
Ga0531459_000194	Gp4
Ga0531459_000195	Twinkle
Ga0531459_000196	DnaB
Ga0531459_000200	DnaB
Ga0531459_000205	L762_PcrA_SNF2
Ga0531459_000215	L762_PcrA_SNF2
Ga0531459_000222	L438
Ga0531459_000223	DnaB
Ga0531459_000224	P438
Ga0531459_000226	DnaB
Ga0531459_000229	DnaB
Ga0531459_000233	Y762_L438_Gp4
Ga0531459_000238	Y762_Gp4
Ga0531459_000252	L762_PcrA_SNF2
Ga0531459_000256	Y762_L438_Gp4
Ga0531459_000258	L762_PcrA_SNF2
Ga0531459_000259	Twinkle
Ga0531459_000261	P438
Ga0531459_000270	DnaB
Ga0531459_000274	F762
Ga0531459_000285	L762_SNF2
Ga0531459_000287	H762
Ga0531459_000290	Twinkle
Ga0531459_000292	H762
Ga0531459_000293	RecA
Ga0531459_000296	DnaB
Ga0531459_000300	RecB
Ga0531459_000317	I438
Ga0531459_000318	UvsW
Ga0531459_000321	Y762_A438_Gp4
Ga0531459_000330	PcrA_SNF2
Ga0531459_000332	SNF2
Ga0531459_000333	V438_Gp4
Ga0531459_000334	DnaB_RecA
Ga0531459_000336	L762_PcrA_SNF2
Ga0531459_000337	P438
Ga0531459_000340	PcrA_SNF2
Ga0531459_000343	DnaB
Ga0531459_000356	L762_SNF2
Ga0531459_000362	A438
Ga0531459_000363	Twinkle
Ga0531459_000364	RecB
Ga0531459_000370	UvsW
Ga0531459_000372	Y762_Gp4
Ga0531459_000374	UvrB
Ga0531459_000379	DnaB
Ga0531459_000389	Y762
Ga0531459_000395	Y762_P438_Gp4
Ga0531459_000397	SNF2
Ga0531459_000405	DnaB
Ga0531459_000409	SNF2
Ga0531459_000410	RecB
Ga0531459_000413	Y762_A438_Gp4
Ga0531459_000414	F762_DnaB
Ga0531459_000418	L762_PcrA
Ga0531459_000420	SNF2
Ga0531459_000424	F762_L438_UvsW
Ga0531459_000433	P438_Gp41
Ga0531459_000435	PcrA_SNF2
Ga0531459_000437	Y762_P438_Gp4
Ga0531459_000444	L762_PcrA_SNF2
Ga0531459_000448	P438
Ga0531459_000452	PcrA_SNF2
Ga0531459_000453	L762_PcrA_SNF2
Ga0531459_000461	L762
Ga0531459_000471	L762_PcrA_SNF2
Ga0531459_000480	L762_PcrA_SNF2
Ga0531459_000481	UvrD_SNF2
Ga0531459_000484	L762_PcrA
Ga0531459_000489	DnaB
Ga0531459_000498	RecD_DnaB
Ga0531459_000512	DnaB
Ga0531459_000514	H762
Ga0531459_000516	Y762_A438
Ga0531459_000530	SNF2
Ga0531459_000533	RecB_DnaB_RecA
Ga0531459_000542	Gp4
Ga0531459_000545	L438
Ga0531459_000550	DnaB
Ga0531459_000568	Y762
Ga0531459_000570	Y762_Gp4
Ga0531459_000571	SNF2
Ga0531459_000575	L762_PcrA
Ga0531459_000580	Y762_L438_Gp4
Ga0531459_000585	PcrA_SNF2
Ga0531459_000587	F762_DnaB
Ga0531459_000588	DnaB
Ga0531459_000592	SNF2
Ga0531459_000595	L762_PcrA
Ga0531459_000596	A438
Ga0531459_000598	Gp4
Ga0531459_000600	Gp4
Ga0531459_000611	SNF2
