ID	enriched_cb_chain	Syntenome
Ga0531454_000028	(396_172588_9139, 9139_32601_190390, 13929_185066_60994, 32601_9139_172588, 144306_13929_185066, 144306_244445_144349)	0
Ga0531454_000029	(28592_188800_173845, 59018_101762_175569, 72724_100126_131813, 72724_181993_175569, 100126_72724_181993, 101762_175569_181993, 131813_175570_211879, 158773_28583_175568)	13
Ga0531454_000030	(28680_212473_212472)	14
Ga0531454_000031	(59018_101762_175654, 101762_175654_181993)	15
Ga0531454_000032	(114_72260_24610, 114_112319_149108, 396_149108_112319, 396_172588_9139, 9139_32601_190390, 24610_202235_68316, 32601_9139_172588, 32601_190390_172592, 42220_240529_131805, 53302_172592_190390, 72260_114_112319, 72260_24610_202235, 76380_92161_144349, 92161_76380_142274, 112994_53302_172592, 144349_131805_240529, 149108_396_172588)	0
Ga0531454_000033	(24610_238120_60817, 28583_158773_175567, 28583_175568_84261, 59018_84261_175568, 59018_101762_175569, 72724_202237_181993, 84261_59018_101762, 101762_175569_181993, 104462_28593_188799, 131813_175570_211879, 158773_28583_175568, 158773_175567_173845, 175569_181993_202237)	13
Ga0531454_000034	(211765_185716_229451)	7
Ga0531454_000036	(216129_122110_228183)	23
Ga0531454_000037	(17365_234857_144203, 42156_243823_243824, 72708_243824_243823, 115091_50246_244117, 144558_238571_193134, 144617_17365_234857, 159287_144203_234857, 210425_42156_243823)	1
Ga0531454_000038	(2654_84202_144349, 2654_244445_144306, 13929_53365_193501, 28587_175512_92204, 42156_193134_201754, 53364_167933_167933, 53364_228768_201754, 53365_193501_167933, 84202_2654_244445, 84202_144349_92204, 144349_92204_175512, 156493_42156_193134, 167933_53364_228768, 167933_167933_167933, 167933_167933_193501, 193134_201754_228768)	16
Ga0531454_000039	(92172_184702_156667, 194941_226823_215942)	8
Ga0531454_000040	(59018_101762_175569, 72724_100126_131813, 72724_181993_175569, 100126_72724_181993, 101762_175569_181993, 158773_28583_175568)	13
Ga0531454_000041	(17365_144617_122939, 42156_210425_204783, 42156_243823_243824, 144558_238571_193134, 144617_17365_234857, 193134_204783_210425, 204783_193134_238571, 210425_42156_243823)	1
Ga0531454_000042	(34108_234654_173642, 80481_34108_234654, 193436_173639_202174)	17
Ga0531454_000044	(66826_133619_134835, 84984_66826_133619)	8
Ga0531454_000045	(9959_202068_211164, 202209_211220_211164, 202241_202077_237966, 211220_202209_211654)	11
Ga0531454_000046	(92776_182933_173723, 92776_223885_228811, 134516_173723_182933, 173723_134516_223884, 182933_92776_223885)	4
Ga0531454_000049	(114_72260_24610, 114_112319_149108, 396_172588_159763, 3443_159763_172588, 24610_202235_68316, 72260_114_112319, 72260_24610_202235, 159763_3443_190390)	0
Ga0531454_000050	(28592_188800_173845, 59018_101762_175569, 72724_100126_131813, 72724_181993_175569, 100126_72724_181993, 101762_175569_181993, 131813_175570_211879, 158773_28583_175568)	13
Ga0531454_000051	(28583_175568_84261, 59018_101762_175569, 72724_202237_181993, 101762_59018_111940, 101762_175569_181993, 104462_28593_188799, 131813_72724_202237, 158773_28583_175568, 175569_181993_202237)	13
Ga0531454_000052	(462_123425_87029)	2
Ga0531454_000053	(17365_144617_122939, 22704_122939_144617, 53610_17365_144617)	1
Ga0531454_000055	(28592_188800_173845, 59018_101762_175569, 72724_100126_131813, 72724_181993_175569, 100126_72724_181993, 101762_175569_181993, 131813_175570_211879, 158773_28583_175568)	13
Ga0531454_000057	(396_149108_112319, 396_172588_9139, 9139_32601_190390, 32601_9139_172588, 149108_396_172588)	0
Ga0531454_000064	(17365_181092_122939, 42156_42250_243824, 42156_134824_193134, 42250_42156_134824, 68071_37597_122939, 134824_193134_149422)	1
Ga0531454_000065	(114_216487_149108, 396_149108_216487, 396_172588_9139, 149108_396_172588, 172588_9139_190390)	0
Ga0531454_000066	(396_172588_159763, 50328_238571_243604, 172588_159763_190390)	0
Ga0531454_000067	(80231_93354_136658)	18
Ga0531454_000069	(3950_75603_124689, 60845_134494_75232, 75231_75232_134494, 75603_124689_200984, 124689_200984_216128, 133390_134492_216128, 134492_133390_175916, 134492_216128_200984, 134494_60845_175916, 134610_60095_195003)	19
Ga0531454_000070	(59018_101762_175654, 101762_175654_181993)	15
Ga0531454_000071	(92161_76380_142274)	0
Ga0531454_000072	(28875_144616_210695)	7
Ga0531454_000073	(134835_133619_218284)	7
Ga0531454_000076	(76380_92161_144349, 92161_76380_142274)	0
Ga0531454_000077	(144568_122110_216129)	23
Ga0531454_000078	(13929_53365_193501, 53364_167933_167933, 53365_13929_60149, 53365_193501_167933, 167933_53364_228768, 167933_167933_167933, 167933_167933_193501)	16
Ga0531454_000081	(17365_144617_122939, 17365_234857_188494, 144617_17365_234857, 144617_122939_204770)	1
Ga0531454_000082	(42156_74536_243824, 42156_210425_134824, 193134_134824_210425)	1
Ga0531454_000083	(20656_202626_102852, 68740_144349_201525, 144349_68740_216787, 175625_20656_202626, 202626_102852_234396)	8
Ga0531454_000084	(42156_134824_193134, 134824_193134_149422)	1
Ga0531454_000085	(17365_201753_122939, 17365_234857_80765, 57967_84459_187004, 122939_195007_243606, 201753_17365_234857, 234857_80765_236336)	1
Ga0531454_000086	(114_149108_396, 396_172588_159763, 149108_396_172588)	0
Ga0531454_000087	(159609_68213_187014)	9
Ga0531454_000088	(144872_240408_215942, 176647_144872_240408)	2
Ga0531454_000089	(101353_211158_244750, 122110_144568_216129)	37
Ga0531454_000090	(111943_156866_115091)	1
Ga0531454_000091	(462_123425_76401, 211879_111301_238158)	10
Ga0531454_000094	(2654_84202_144349, 76380_92204_144349, 84202_144349_92204)	16
Ga0531454_000095	(156667_194941_226823, 184702_156667_194941)	8
Ga0531454_000096	(107848_223798_243148, 107848_238278_184713, 142290_184713_238278, 193436_243148_223798, 223798_107848_238278)	24
Ga0531454_000097	(17365_234857_80765, 57967_84459_187004, 234857_80765_236336)	1
Ga0531454_000098	(387_171759_184724, 851_24859_93109, 851_237220_107846, 4863_184724_171759, 24859_851_237220, 56269_56269_56269, 56269_56269_131867, 107846_4863_184724)	10
Ga0531454_000100	(2615_24606_104612, 24606_2615_101135, 66826_84984_101135, 84984_66826_133619)	8
Ga0531454_000101	(50328_238571_243604)	0
Ga0531454_000103	(32779_102968_201687)	14
Ga0531454_000104	(56138_60272_240268)	11
Ga0531454_000106	(101275_59983_204841)	23
Ga0531454_000108	(9999_84127_75065, 53869_9999_84127)	7
Ga0531454_000109	(172588_159763_190390)	0
Ga0531454_000111	(2654_84202_144349, 28587_175512_92204, 42156_193134_201754, 84202_144349_92204, 93313_229422_151493, 144349_92204_175512, 156493_42156_193134)	16
Ga0531454_000115	(17365_144617_122939)	1
Ga0531454_000119	(17365_181092_122939, 17365_202778_185588, 42156_134824_193134, 115091_236275_185588, 122939_204770_243826, 181092_17365_202778, 202778_185588_236275)	1
Ga0531454_000120	(42156_156493_243824)	16
Ga0531454_000124	(17365_144617_122939, 17365_234857_188494, 144617_17365_234857, 144617_122939_204770)	1
Ga0531454_000125	(76380_92161_144349, 92161_76380_142274)	0
Ga0531454_000126	(172588_9139_190390)	0
Ga0531454_000127	(22959_1202_75206)	23
Ga0531454_000130	(216129_122110_228183)	23
Ga0531454_000134	(131813_175570_211879)	13
Ga0531454_000135	(133468_188624_159097)	25
Ga0531454_000137	(2615_24606_104612, 24606_2615_101135)	8
Ga0531454_000138	(34332_149131_100076)	10
Ga0531454_000139	(28875_144616_210695, 144616_28875_234350)	7
Ga0531454_000143	(112197_112197_210086)	8
Ga0531454_000144	(53367_229451_185716, 142446_53367_229451, 185716_211765_229307, 211765_185716_229451)	7
Ga0531454_000147	(80231_93354_136658, 80231_104515_204805, 89777_204805_104515, 93354_80231_104515, 202302_89777_204805)	18
Ga0531454_000149	(3347_60272_56138, 211220_202209_219157)	11
Ga0531454_000152	(32601_159763_172588, 159763_32601_190390)	0
Ga0531454_000153	(60342_60343_219769, 60343_60342_243343, 60343_219769_238090, 92776_182933_173723, 92776_223885_228811, 134516_173723_182933, 173723_134516_223884, 176654_238090_219769, 182933_92776_223885)	4
Ga0531454_000155	(159763_32601_190390)	0
Ga0531454_000159	(22940_167968_228602, 22940_236162_32597, 55574_144349_92161, 92161_175512_213073, 144349_92161_175512, 167968_22940_236162, 175512_213073_212630)	0
Ga0531454_000160	(50186_134779_244174)	8
Ga0531454_000161	(17365_201753_122939, 17365_234857_188494, 57967_84459_187004, 111943_156866_115091, 122939_195007_243606, 201753_17365_234857, 234857_188494_236336)	1
Ga0531454_000162	(115091_3908_212533)	1
Ga0531454_000164	(24610_202235_202026, 28592_79691_38259, 28592_188800_173845, 59018_101762_175569, 72724_202237_181993, 79691_28592_188800, 101762_59018_111940, 101762_175569_181993, 158773_28583_175568, 175569_181993_202237, 202235_24610_238120)	13
Ga0531454_000166	(9139_32601_190390, 32601_9139_172588)	0
Ga0531454_000167	(32484_111943_38644, 80982_32484_111943)	10
Ga0531454_000168	(144558_238571_244117)	7
Ga0531454_000169	(24202_69189_55574)	0
Ga0531454_000171	(2659_84459_144084, 92776_182933_173723, 92776_223885_228811, 134516_173723_182933, 182933_92776_223885, 201980_244164_223886)	4
Ga0531454_000172	(28875_144616_210695, 42220_131805_240529, 144616_28875_202767, 242905_242906_244117)	7
Ga0531454_000173	(13929_185066_60994, 76380_92161_144349, 92161_144349_244445, 144306_13929_185066, 144306_244445_144349)	0
Ga0531454_000174	(28583_158773_175567, 28583_175568_84261, 28592_188800_173845, 42220_84260_131813, 59018_84261_175568, 59018_101762_175569, 72724_131813_84260, 72724_202237_181993, 84261_59018_101762, 101762_175569_181993, 131813_72724_202237, 158773_28583_175568, 158773_175567_173845, 175567_173845_188800, 175569_181993_202237)	13
Ga0531454_000175	(234857_80765_236336)	1
Ga0531454_000176	(17365_201753_122939, 17365_234857_188494, 111943_156866_115091, 122939_195007_243606, 201753_17365_234857, 234857_188494_236336)	1
Ga0531454_000177	(17365_234857_80765, 115091_159196_211227)	1
Ga0531454_000178	(17365_144617_122939, 17365_234857_188494, 144617_17365_234857, 144617_122939_223210)	1
Ga0531454_000185	(55574_144349_92161, 74567_204813_102466, 143697_102466_204813, 198999_74567_204813)	0
Ga0531454_000189	(134835_133619_218284)	7
Ga0531454_000190	(59981_101275_59983, 59981_228702_101292, 101275_59981_228702, 101275_59983_204841)	23
Ga0531454_000191	(1140_34753_193517, 5067_35196_176171, 35196_5067_104401)	26
Ga0531454_000193	(396_172588_9139, 9139_32601_190390, 32601_9139_172588, 149108_396_172588)	0
Ga0531454_000194	(24610_202235_68316)	0
Ga0531454_000195	(28587_76380_92161, 76380_92161_144349)	0
Ga0531454_000199	(851_237220_107846)	10
Ga0531454_000200	(76380_92204_144349)	16
Ga0531454_000201	(13929_105054_244445, 13929_236162_151493, 22706_151493_236162, 76380_92161_144349, 92161_144349_244445, 105054_13929_236162, 105054_244445_144349)	16
Ga0531454_000202	(17365_234857_80765)	1
Ga0531454_000203	(462_123425_143154)	8
Ga0531454_000207	(56269_56269_56269, 56269_56269_131867)	10
Ga0531454_000208	(75384_75288_123746)	0
Ga0531454_000211	(60237_3425_168199)	4
Ga0531454_000212	(13929_53365_193501, 13929_144306_244445, 53365_13929_144306, 53365_193501_167933, 76380_92204_144349, 84202_144349_92204, 144349_84202_193892, 167933_167933_167933, 167933_167933_193501)	16
Ga0531454_000214	(17365_144617_122939, 17365_234857_80765, 42156_210425_204783, 68071_204770_122939, 144617_17365_234857, 144617_122939_204770, 193134_204783_210425, 204770_68071_243824, 210425_42156_243823)	1
Ga0531454_000216	(101135_24768_144203)	1
Ga0531454_000220	()	0
Ga0531454_000221	(17365_144617_122939, 17365_234857_80765, 144617_17365_234857, 144617_122939_223210, 234857_80765_236336)	1
Ga0531454_000223	(13929_236162_151493, 22706_93313_229422, 22707_243533_193134, 42156_193134_243533, 93313_229422_151493, 105054_13929_236162)	16
Ga0531454_000224	(42156_193134_133169, 42156_228603_243824, 74567_204813_102466, 84202_133169_193134, 84202_143697_102466, 133169_84202_143697, 143697_102466_204813, 193134_42156_228603, 198999_74567_204813)	0
Ga0531454_000226	(115091_50246_244117)	1
Ga0531454_000232	(3347_212511_3402)	11
Ga0531454_000234	(42220_84260_131813, 42220_240529_131805, 72724_131813_84260, 72724_181993_175569, 84260_42220_240529, 101762_175569_181993)	13
Ga0531454_000235	(172588_159763_190390)	0
Ga0531454_000236	(17365_144617_122939, 17365_234857_80765, 24768_80765_234857, 144617_17365_234857)	1
Ga0531454_000238	(114_72260_24610, 114_112319_149108, 396_149108_112319, 396_172588_159763, 24610_202235_68316, 72260_114_112319, 72260_24610_202235, 149108_396_172588)	0
Ga0531454_000243	(38678_101740_68375)	27
Ga0531454_000247	(76379_76380_122156, 76380_76379_238158)	2
Ga0531454_000248	(13929_105054_244445, 13929_236162_151493, 22706_93313_229422, 22706_151493_236162, 76380_92161_144349, 92161_144349_244445, 105054_13929_236162, 105054_244445_144349)	16
Ga0531454_000251	(396_172588_9139, 9139_32601_190390, 32601_9139_172588, 32601_190390_172592, 53302_172592_190390)	0
Ga0531454_000252	(153303_211267_236307)	1
Ga0531454_000255	(28587_175512_92204, 84202_144349_92204, 133348_28587_175512, 144349_92204_175512)	16
Ga0531454_000259	(92776_223885_202274, 182933_92776_223885)	4
Ga0531454_000260	(22706_93313_229422)	16
Ga0531454_000263	(28583_158773_175567, 28583_175568_84261, 59018_84261_175568, 59018_101762_175569, 72724_202237_181993, 84261_59018_101762, 101762_175569_181993, 158773_28583_175568, 158773_175567_173845, 175569_181993_202237)	13
Ga0531454_000264	(56269_56269_131867, 80982_32484_111943)	10
Ga0531454_000265	(56269_56269_56269, 56269_56269_131867)	10
Ga0531454_000268	(28587_175512_92204, 84202_144349_92204, 133348_28587_175512, 144349_92204_175512)	16
Ga0531454_000269	(32601_190390_172592)	0
Ga0531454_000271	(185716_243405_229451)	8
Ga0531454_000272	(53367_229451_185716, 142446_53367_229451, 185716_211765_229307, 211765_185716_229451)	7
Ga0531454_000274	(101135_175625_212628, 107553_173865_202156)	14
Ga0531454_000275	(17365_234857_80765, 144617_17365_234857, 234857_80765_236336)	1
Ga0531454_000276	(66826_84984_101135, 66826_133619_134835, 71129_134835_133619, 84984_66826_133619)	8
Ga0531454_000281	(17365_144617_236437, 17365_234857_80765, 144617_17365_234857)	1
Ga0531454_000282	(74243_112326_127693, 159519_219807_176655)	10
Ga0531454_000283	(2654_84202_144349, 53364_167933_167933, 53365_193501_167933, 84202_2654_244445, 167933_167933_167933, 167933_167933_193501)	16
Ga0531454_000284	(13929_185066_60994, 144306_13929_185066, 144306_244445_144349)	0
Ga0531454_000285	(53367_229451_185716, 142446_53367_229451, 185716_211765_229307, 211765_185716_229451)	7
Ga0531454_000286	(13929_105054_244445, 13929_236162_151493, 22706_93313_229422, 22706_151493_236162, 105054_13929_236162)	16
Ga0531454_000289	(50186_112197_112197, 50186_134779_244174, 112197_50186_134779, 112197_112197_210086, 112197_210086_219121)	8
Ga0531454_000290	(22706_93313_229422, 22707_243533_193134, 42156_193134_243533)	16
Ga0531454_000291	(396_172588_159763, 172588_159763_190390)	0
Ga0531454_000294	(9139_32601_190390, 32601_190390_172592)	0
Ga0531454_000297	(38678_101740_68375)	27
Ga0531454_000298	(50328_238571_243604)	0
Ga0531454_000299	(17365_144617_122939, 17365_234857_188494, 144617_17365_234857, 144617_122939_204770)	1
Ga0531454_000300	(92172_184702_156667, 156667_194941_226823, 184702_156667_194941, 194941_226823_215942)	8
Ga0531454_000303	(2654_84202_144349, 2654_244445_144306, 13929_53365_193501, 13929_144306_244445, 53364_167933_167933, 53365_13929_144306, 53365_193501_167933, 84202_2654_244445, 167933_53364_228768, 167933_167933_167933, 167933_167933_193501)	16
Ga0531454_000304	(80231_93354_136658, 80231_104515_204805, 89777_204805_104515, 93354_80231_104515, 202302_89777_204805)	18
Ga0531454_000305	(114_72260_24610)	0
Ga0531454_000306	(24202_69189_55574)	0
Ga0531454_000311	(17365_144617_122939, 68071_37597_122939)	1
Ga0531454_000312	(17365_202778_185588, 202778_17365_240523)	1
Ga0531454_000316	(42220_131805_240529)	7
Ga0531454_000319	(396_172588_159763, 32601_159763_172588, 75384_75288_123746, 159763_32601_190390)	0
Ga0531454_000320	(28583_158773_175567, 28583_175568_84261, 28592_188800_173845, 59018_84261_175568, 59018_101762_175569, 72724_202237_181993, 79691_28592_188800, 84261_59018_101762, 101762_175569_181993, 158773_28583_175568, 158773_175567_173845, 175567_173845_188800, 175569_181993_202237)	13
Ga0531454_000322	(144872_240408_215942, 176647_144872_240408)	2
Ga0531454_000327	(92161_175512_213073, 144349_92161_175512, 175512_213073_212630)	0
Ga0531454_000332	(2654_84202_144349, 2654_244445_144306, 13929_53365_193501, 13929_144306_244445, 53364_167933_167933, 53365_13929_144306, 53365_193501_167933, 84202_2654_244445, 167933_167933_167933, 167933_167933_193501)	16
Ga0531454_000337	(76380_92204_144349, 84202_144349_92204, 144349_84202_193892)	16
Ga0531454_000338	(42156_193134_133169)	0
Ga0531454_000339	(59981_101275_59983, 59981_101293_101292, 101275_59981_101293, 101275_59983_240043)	23
Ga0531454_000340	(24202_69189_55574)	0
Ga0531454_000344	(173723_134516_223884)	4
Ga0531455_000001	(22759_159312_22760, 33176_101621_101622, 59775_33176_101621, 68345_228648_201921, 101329_201915_144346, 101621_101622_185117, 101622_185117_201913, 133461_122237_201936, 144346_201914_201913, 159312_22759_238900, 159312_22760_201909, 185117_201913_201914, 185118_101329_201915, 185118_201916_243273, 201914_144346_201915, 228647_68345_228648)	28
Ga0531455_000002	(20167_75937_144617, 20167_236281_212118, 20656_202626_102852, 50227_236437_144617, 68740_144349_201525, 75937_20167_236281, 75937_144617_236437, 76367_176138_150780, 84124_50227_236437, 142446_150780_176138, 175625_20656_202626, 243422_243285_243824)	8
Ga0531455_000003	(20866_74330_238492, 20866_112022_101292, 59981_228702_101292, 74330_20866_112022, 101275_59981_228702, 112022_101292_228702)	23
Ga0531455_000004	(20517_169143_228537, 75051_228537_169143)	29
Ga0531455_000009	(31619_214548_64467, 142288_223705_229453, 161194_229453_223705, 194974_31619_214548)	30
Ga0531455_000011	(74183_229451_185716, 142446_74183_229451)	7
Ga0531455_000012	(53869_84127_75065, 57869_219105_196832, 57869_237963_150780, 219105_57869_237963)	7
Ga0531455_000013	(34081_84459_144084, 50624_223884_134516, 60342_60343_219769, 60343_60342_243343, 60343_219769_238090, 76455_219833_107276, 92776_223885_228811, 92776_243341_173723, 134516_173723_243341, 142271_151032_238090, 173723_134516_223884, 219833_76455_228812, 223885_92776_243341)	4
Ga0531455_000014	(47017_131792_134747, 131792_47017_201993)	31
Ga0531455_000015	(34081_84459_144084, 50625_92776_223885, 50625_173723_134516, 60237_3425_168199, 60343_219769_238090, 92776_50625_173723, 92776_223885_228811, 173723_134516_223884, 176654_238090_219769)	4
Ga0531455_000018	(2615_75065_84127, 9999_84127_75065, 53869_9999_84127, 57869_219105_196832, 57869_237963_150780, 101843_229451_185716, 219105_57869_237963)	7
Ga0531455_000019	(20866_74330_238492, 20866_112022_101292, 59981_101275_59983, 59981_101293_101292, 59983_240043_210412, 74330_20866_112022, 74330_238492_212127, 101275_59981_101293, 101275_59983_240043, 101293_101292_112022)	23
Ga0531455_000021	(24610_202235_202026, 24610_238120_60817, 28583_158773_175567, 28592_79691_38259, 28592_188800_173845, 42220_84260_131813, 42220_240529_131805, 59018_101762_175569, 72724_131813_84260, 72724_202237_181993, 79691_28592_188800, 84260_42220_240529, 101762_59018_111940, 101762_175569_181993, 104462_28593_188799, 131813_72724_202237, 158773_28583_175568, 158773_175567_173845, 175567_173845_188800, 175569_181993_202237, 202235_24610_238120)	13
Ga0531455_000024	(80481_238278_234654, 173642_234654_238278, 193436_80606_202174)	17
Ga0531455_000029	(75166_75167_244728, 75167_75166_185485)	32
Ga0531455_000033	(33176_101621_101622, 59914_201921_228648, 101329_201915_144346, 144346_201914_201913, 201914_144346_201915, 201916_243273_228652, 201918_228652_243273, 201921_59914_240264, 228652_201918_240261)	28
Ga0531455_000034	(3347_60272_56138, 3347_212511_3402, 9959_202068_32028, 60272_3347_212511, 210738_3402_212511, 211220_202209_219157)	11
Ga0531455_000036	(17365_144617_122939, 144617_122939_188553)	1
Ga0531455_000037	(75166_75167_244728, 75167_75166_185485)	32
Ga0531455_000039	(13644_51562_17357)	0
Ga0531455_000040	(32018_195173_107276, 74517_3402_212511, 84087_94262_243639, 84087_202068_134399, 94262_84087_202068)	33
Ga0531455_000046	(726_76652_193636, 76652_193636_210846, 184856_210846_193636)	34
Ga0531455_000047	(1202_22959_153334, 3949_122396_227591, 22959_1202_75206, 22959_153334_237948, 56143_56143_238431, 74391_227591_122396, 74391_237948_153334, 92741_144568_122110, 112031_90862_236486, 227591_74391_237948)	23
Ga0531455_000048	(75218_57980_133343, 105430_101442_210900, 133345_133468_188624, 133468_133345_210900)	25
Ga0531455_000052	(6823_211656_80868, 6823_243844_151631, 47444_211655_92838, 56031_202133_156043, 56138_74358_216129, 56138_92185_101531, 74358_56138_92185, 75216_156043_202133, 80775_107278_151631, 80775_212303_133873, 80868_92788_134231, 84087_134231_92788, 84087_149114_243639, 92185_101531_156421, 92788_80868_211656, 101531_156421_133872, 107278_80775_212303, 107278_151631_243844, 133872_133873_212303, 133873_133872_156421, 134231_84087_149114, 149114_243639_218055, 156043_75216_156044, 211656_6823_243844)	25
Ga0531455_000054	(20866_74330_238492, 20866_112022_101292, 59981_101293_101292, 74330_20866_112022, 74330_238492_101272, 101293_101292_112022, 112046_145375_202138, 145375_112046_238503)	23
Ga0531455_000055	(2953_143149_238068, 2953_159888_143177, 22077_75743_101448, 37028_22077_75743, 73098_151737_143177, 75743_101448_101447, 101447_238068_143149, 101448_101447_238068, 143149_2953_159888, 151736_207448_173772, 151737_143177_159888)	10
Ga0531455_000056	(851_80631_93109)	6
Ga0531455_000064	(9881_9882_55114, 9882_55114_195138)	35
Ga0531455_000065	(20167_75937_144617, 20167_236281_212118, 68740_144349_201525, 68740_216787_195183, 75937_20167_236281, 75937_144617_236437, 84124_100303_236437, 100303_236437_144617, 112673_212118_236281, 144349_68740_216787, 147613_243824_243285, 243422_243285_243824)	8
Ga0531455_000066	(52803_75230_151517, 60845_134494_75232, 60845_175916_133390, 75231_75232_134494, 133390_134492_216128, 134492_133390_175916, 134492_216128_200984, 134494_60845_175916)	19
Ga0531455_000069	(3402_201098_212647, 3402_212511_188849, 28501_187028_211164, 53951_28501_187028, 56138_60272_243847, 56138_122194_156327, 60272_56138_122194, 60272_243847_173810, 75216_210806_80185, 93512_80185_210806, 104161_244740_193852, 107276_151517_122598, 122194_156327_122598, 151517_122598_156327, 173810_188849_212511, 187028_211164_238727, 188849_173810_243847, 193852_202068_238727, 201098_3402_212511, 201098_212647_201567, 202068_193852_244740, 202068_238727_211164, 240429_104161_244740)	33
Ga0531455_000070	(462_123425_143154, 45115_462_123425)	8
Ga0531455_000076	(119196_170658_243512)	15
Ga0531455_000078	(1202_22959_153334, 22959_153334_237948, 74391_237948_153334, 227591_74391_237948)	23
Ga0531455_000081	(462_123425_143154, 66826_84984_101135, 66826_133619_134835, 71129_134835_133619, 84984_66826_133619)	8
Ga0531455_000086	(462_123425_76401)	10
Ga0531455_000087	(13929_105054_244445, 13929_236162_201606, 105054_13929_236162, 151493_201606_236162)	16
Ga0531455_000088	(20866_74330_238492, 20866_112022_101292, 59981_101275_75983, 59981_101293_101292, 59983_75983_101275, 74330_20866_112022, 74330_238492_212127, 101275_59981_101293, 101293_101292_112022)	23
Ga0531455_000089	(34332_149131_100076, 112128_104489_175512)	10
Ga0531455_000091	(87029_123425_210030, 123425_210030_243005)	10
Ga0531455_000092	(1140_34753_193517, 5067_35196_176171, 35196_5067_104401)	26
Ga0531455_000098	(1202_75206_84158, 75206_84158_112031, 216129_122110_228183)	23
Ga0531455_000100	(17365_144617_122939, 22704_122939_144617)	1
Ga0531455_000101	(9959_202068_32028, 32028_211220_202209, 202068_32028_211220, 202241_202077_237966, 211220_202209_211654)	11
Ga0531455_000102	(42220_240529_131805)	0
Ga0531455_000103	(34081_84459_144084, 201980_244164_223886)	4
Ga0531455_000104	(34108_234654_173642, 80481_34108_234654)	17
Ga0531455_000109	(92139_151226_195624)	29
Ga0531455_000110	(80481_238278_234654, 173642_234654_238278, 193436_80606_202174)	17
Ga0531455_000114	(80481_238278_234654, 173642_234654_238278)	17
Ga0531455_000115	(122396_134089_219210)	36
Ga0531455_000116	(3402_201098_212647, 3402_212511_188849, 28498_32482_122190, 28498_101566_53950, 28501_53951_201567, 28501_187028_211164, 32482_28498_101566, 32482_122190_223738, 53951_28501_187028, 53951_201567_212647, 80605_104161_244740, 84179_223738_122190, 104161_80605_122997, 104161_244740_193852, 144323_202068_193852, 144323_238727_211164, 173810_188849_212511, 187028_211164_238727, 201098_3402_212511, 201098_212647_201567, 202068_144323_238727, 202068_193852_244740)	33
